,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks*,5,0,0,27.4,82,46,25,11,103,0.628,215,188,3,4,0.27,-0.05,2.62,2.29,56,245,22.86,37,290,87.24,7,3,12.5,11.1,2483,8.7,2258,0.917,8,3863,3516,52.4,2902,2558,53.2,7.5,91.9,99.3,49.3,50.7,1967,1870,51.3,2084,958
Arizona Coyotes,25,0,0,27.6,82,35,39,8,78,0.476,208,244,1,1,-0.43,0.01,2.54,2.98,53,300,17.67,69,304,77.3,4,14,12.3,11.5,2265,9.2,2539,0.904,5,3414,3841,47.1,2507,2910,46.3,8.4,92,100.4,48,52,2134,1790,54.4,1665,931
Boston Bruins,16,0,0,28.8,82,42,31,9,93,0.567,236,228,4,2,0.11,-0.02,2.88,2.78,48,234,20.51,48,270,82.22,9,4,11.4,10.4,2620,9,2490,0.908,5,3835,3902,49.6,2905,2946,49.6,8.2,91.7,99.9,50.3,49.7,2111,2086,50.3,2046,956
Buffalo Sabres,23,0,0,26.2,82,35,36,11,81,0.494,199,215,2,7,-0.25,0.01,2.43,2.62,48,254,18.9,38,218,82.57,6,6,9.1,10.2,2418,8.2,2511,0.914,2,3532,3892,47.6,2669,2951,47.5,7.3,92,99.3,47.8,52.2,1961,2055,48.8,1844,941
Calgary Flames,26,0,0,27.7,82,35,40,7,77,0.47,229,257,2,3,-0.36,-0.01,2.79,3.13,46,270,17.04,57,234,75.64,10,7,9.2,9.5,2398,9.5,2377,0.892,3,3722,3973,48.4,2698,2836,48.8,8.8,90.4,99.1,48.8,51.2,1984,2046,49.2,1639,1137
Carolina Hurricanes,18,0,0,27,82,35,31,16,86,0.524,196,221,2,5,-0.31,0.03,2.39,2.7,40,238,16.81,32,204,84.31,3,5,6.9,7.7,2451,8,2261,0.902,3,3918,3699,51.4,2916,2834,50.7,7.4,90.7,98.1,51.4,48.6,2081,1809,53.5,1457,865
Chicago Blackhawks*,6,0,0,28.6,82,47,26,9,103,0.628,234,207,1,2,0.32,0,2.85,2.52,57,252,22.62,46,233,80.26,10,3,7.5,8.6,2498,9.4,2526,0.918,8,3928,3788,50.9,2848,2814,50.3,7.8,92.4,100.3,52,48,1983,1996,49.8,1318,974
Colorado Avalanche,21,0,0,28.3,82,39,39,4,82,0.5,212,240,4,0,-0.26,0.03,2.59,2.93,48,266,18.05,51,258,80.23,7,9,9.4,9.4,2348,9,2649,0.909,5,3424,4269,44.5,2586,3083,45.6,8.2,91.8,100,47,53,1918,1909,50.1,1732,1186
Columbus Blue Jackets,27,0,0,26.5,82,34,40,8,76,0.463,213,248,6,4,-0.38,0.03,2.6,3.02,43,248,17.34,53,279,81,3,8,12.1,10.7,2387,8.9,2550,0.903,1,3640,3928,48.1,2710,2874,48.5,8.3,91,99.3,47.5,52.5,1991,2089,48.8,2014,1054
Dallas Stars*,2,0,0,28.9,82,50,23,9,109,0.665,265,228,2,2,0.45,-0.01,3.23,2.78,58,262,22.14,44,248,82.26,10,15,8.8,9,2624,10.1,2371,0.904,5,4260,3889,52.3,3127,2852,52.3,9,91.5,100.4,50.9,49.1,2144,2071,50.9,1467,1037
