,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Detroit Red Wings*,15,0,0,28.7,82,41,30,11,93,0.567,209,219,2,5,-0.16,0,2.55,2.67,50,266,18.8,50,271,81.55,2,4,8.8,9.1,2432,8.6,2439,0.91,6,3664,3406,51.8,2762,2717,50.4,7.8,91.8,99.6,53.6,46.4,1932,1895,50.5,1500,689
Edmonton Oilers,29,0,0,26.4,82,31,43,8,70,0.427,199,242,4,3,-0.51,0,2.43,2.95,43,237,18.14,49,254,80.71,5,6,9.7,9.2,2386,8.3,2548,0.905,3,3785,3936,49,2744,2911,48.5,7.6,91.1,98.7,48.4,51.6,1952,2059,48.7,1743,1025
Florida Panthers*,7,0,0,29.2,82,47,26,9,103,0.628,232,200,7,3,0.42,-0.02,2.83,2.44,47,278,16.91,55,268,79.48,5,5,10.4,10.4,2358,9.8,2419,0.917,4,3334,3470,49,2624,2705,49.2,9.3,92.9,102.2,48,52,1998,2040,49.5,1809,765
Los Angeles Kings*,8,0,0,28.3,82,48,28,6,102,0.622,223,192,2,3,0.32,-0.04,2.72,2.34,47,235,20,53,285,81.4,5,3,10.6,9.1,2625,8.5,2254,0.915,7,4322,3382,56.1,3234,2551,55.9,7.8,92.6,100.4,55.7,44.3,2037,2037,50,2322,831
Minnesota Wild*,17,0,0,28,82,38,33,11,87,0.53,213,204,3,2,0.13,0.01,2.6,2.49,48,259,18.53,45,204,77.94,7,6,6.6,8.6,2374,9,2347,0.913,8,3566,3892,47.8,2673,2831,48.6,8.2,92.3,100.4,50.3,49.7,2111,1929,52.3,1336,1061
Montreal Canadiens,22,0,0,28,82,38,38,6,82,0.5,216,233,5,3,-0.18,0,2.63,2.84,42,259,16.22,46,254,81.89,8,11,9.4,9.9,2504,8.6,2408,0.903,3,3917,3698,51.4,2840,2705,51.2,7.9,91.2,99.1,48.4,51.6,2133,2129,50,1824,993
Nashville Predators*,14,0,0,28.4,82,41,27,14,96,0.585,224,213,4,2,0.17,0.01,2.73,2.6,51,259,19.69,46,245,81.22,7,2,9.9,9.8,2507,8.9,2242,0.905,6,3902,3554,52.3,2903,2523,53.5,7.9,91.2,99.1,51.4,48.6,1981,2028,49.4,1808,1031
New Jersey Devils,20,0,0,27.9,82,38,36,8,84,0.512,182,202,2,6,-0.28,0.02,2.22,2.46,51,256,19.92,45,264,82.95,5,8,9.9,9.2,2003,9.1,2349,0.914,7,2919,3448,45.8,2249,2576,46.6,7.7,92.2,100,45.3,54.7,1717,2016,46,1729,872
New York Islanders*,10,0,0,27.9,82,45,27,10,100,0.61,227,211,5,5,0.19,0,2.77,2.57,43,229,18.78,36,232,84.48,7,6,8.8,9.2,2412,9.4,2495,0.915,4,3905,4020,49.3,2832,2905,49.4,8.8,92.1,100.9,51.4,48.6,1932,1878,50.7,2183,1115
New York Rangers*,9,0,0,29.6,82,46,27,9,101,0.616,233,215,3,2,0.24,0.01,2.84,2.62,42,226,18.58,53,243,78.19,3,5,8.6,8.3,2336,10,2494,0.914,5,3626,4050,47.2,2701,2946,47.8,9.7,92.5,102.2,49.6,50.4,1895,1963,49.1,2061,1104
Ottawa Senators,19,0,0,27,82,38,35,9,85,0.518,230,241,6,6,-0.13,0.01,2.8,2.94,38,239,15.9,61,253,75.89,17,3,10.9,11,2325,9.9,2688,0.91,5,3718,4105,47.5,2714,3071,46.9,8.9,92.2,101.1,49.4,50.6,2078,1969,51.3,2125,1034
Philadelphia Flyers*,13,0,0,28.1,82,41,27,14,96,0.585,211,210,3,8,-0.03,0.02,2.57,2.56,53,280,18.93,51,262,80.53,3,8,11.8,11.9,2540,8.3,2519,0.917,7,3958,3886,50.5,2838,2800,50.3,7.6,92.9,100.5,50,50,1979,1944,50.4,2071,1086
Pittsburgh Penguins*,4,1,1,29,82,48,26,8,104,0.634,241,199,4,4,0.5,-0.01,2.94,2.43,48,261,18.39,40,257,84.44,11,5,8.5,8.9,2722,8.9,2436,0.918,6,4028,3600,52.8,3014,2682,52.9,8.1,92.4,100.4,51.4,48.6,2125,2075,50.6,1829,918
San Jose Sharks*,11,1,0,29.1,82,46,30,6,98,0.598,237,207,4,3,0.33,-0.05,2.89,2.52,62,275,22.55,46,236,80.51,6,7,8.9,11,2491,9.5,2245,0.908,9,3806,3651,51,2851,2547,52.8,8.4,91.6,100,49.1,50.9,1969,1942,50.3,1582,1104
St. Louis Blues*,3,0,0,28,82,49,24,9,107,0.652,219,197,5,4,0.28,0,2.67,2.4,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,0.919,10,3872,3610,51.8,2908,2674,52.1,7.7,92.4,100.1,48.7,51.3,2111,1985,51.5,1812,936
Tampa Bay Lightning*,12,0,0,27.3,82,46,31,5,97,0.591,224,198,3,3,0.3,-0.02,2.73,2.41,44,279,15.77,41,257,84.05,7,7,9.9,10.6,2402,9.3,2366,0.916,7,3768,3507,51.8,2803,2664,51.3,8.6,92.2,100.8,52.5,47.5,1933,1893,50.5,1554,843
Toronto Maple Leafs,30,0,0,27.4,82,29,42,11,69,0.421,192,240,6,6,-0.56,0.03,2.34,2.93,40,259,15.44,50,272,81.62,3,8,9.2,9,2515,7.6,2503,0.904,4,4070,3810,51.6,2986,2967,50.2,7.3,91.4,98.7,50.2,49.8,2090,2072,50.2,1960,843
Vancouver Canucks,28,0,0,28.9,82,31,38,13,75,0.457,186,239,5,4,-0.62,0.02,2.27,2.91,39,247,15.79,47,249,81.12,4,8,10,10,2311,8,2668,0.91,1,3490,3888,47.3,2613,2992,46.6,7.4,91.7,99.1,50.6,49.4,1795,2160,45.4,1444,896
Washington Capitals*,1,0,0,27.9,82,56,18,8,120,0.732,248,191,4,2,0.7,-0.02,3.02,2.33,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,0.918,3,3866,3774,50.6,2858,2730,51.1,9.1,92.3,101.4,51.3,48.7,1879,1934,49.3,1901,1044
Winnipeg Jets,24,0,0,26.8,82,35,39,8,78,0.476,212,236,3,3,-0.26,0.03,2.59,2.88,38,257,14.79,61,282,78.37,10,4,11.2,10.4,2427,8.7,2423,0.903,3,3782,3563,51.5,2785,2645,51.3,8.1,91.2,99.3,51.7,48.3,1788,2040,46.7,1935,918
