,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
New York Rangers*,1,0,0,29.4,82,53,22,7,113,0.689,248,187,4,5,0.69,-0.04,3.02,2.28,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,0.923,11,3884,3715,51.1,2931,2758,51.5,9,91.8,100.8,49.7,50.3,2172,1968,52.5,2165,957
Montreal Canadiens*,2,0,0,28.4,82,50,22,10,110,0.671,214,184,7,5,0.36,-0.03,2.61,2.24,40,242,16.53,42,257,83.66,7,4,10.2,9.3,2334,9.2,2470,0.926,9,4007,3678,52.1,2936,2811,51.1,7.7,92.6,100.3,50.2,49.8,2170,1868,53.7,1978,867
Anaheim Ducks*,3,0,0,27,82,51,24,7,109,0.665,228,221,8,5,0.1,-0.03,2.78,2.7,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,0.907,4,2863,4732,37.7,2182,3417,39,7.1,92.1,99.1,40.8,59.2,1794,2154,45.4,2082,1315
St. Louis Blues*,4,0,0,28.3,82,51,24,7,109,0.665,239,197,9,4,0.59,0.02,2.91,2.4,56,251,22.31,42,257,83.66,2,5,11,10.6,2535,9.4,2233,0.912,10,3624,4426,45,2596,3008,46.3,9.9,91.5,101.4,45.6,54.4,2068,2250,47.9,1738,1418
Tampa Bay Lightning*,5,1,0,26.9,82,50,24,8,108,0.659,259,206,3,5,0.57,-0.06,3.16,2.51,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,0.91,5,4117,3762,52.3,3016,2795,51.9,6.3,90.4,96.7,52.9,47.1,2152,1924,52.8,1833,967
Nashville Predators*,6,0,0,28.4,82,47,25,10,104,0.634,226,202,6,6,0.33,0.03,2.76,2.46,42,259,16.22,45,234,80.77,4,5,8.5,9.3,2614,8.6,2317,0.913,5,4266,3631,54,3096,2740,53.1,7.4,93.2,100.6,54.7,45.3,2100,1954,51.8,1304,891
Chicago Blackhawks*,7,1,1,29.3,82,48,28,6,102,0.622,220,186,9,3,0.51,0.02,2.68,2.27,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,0.925,5,3387,4382,43.6,2525,3172,44.3,8.8,91.9,100.7,46.1,53.9,2082,2026,50.7,1863,1210
New York Islanders*,8,0,0,27.3,82,47,28,7,101,0.616,245,224,7,6,0.26,-0.01,2.99,2.73,50,267,18.73,48,217,77.88,10,3,8.5,9.4,2771,8.8,2321,0.903,6,3475,3827,47.6,2630,2933,47.3,8.5,91.6,100.1,47.2,52.8,1968,2034,49.2,2331,894
Vancouver Canucks*,9,0,0,29.4,82,48,29,5,101,0.616,236,220,6,2,0.2,-0.05,2.88,2.68,46,238,19.33,38,266,85.71,6,2,10.9,9.8,2453,9.6,2446,0.91,9,4217,3890,52,3095,2839,52.2,9.1,90,99.1,51.3,48.7,2260,2095,51.9,1536,1051
Washington Capitals*,10,0,0,28.1,82,45,26,11,101,0.616,237,199,5,4,0.44,-0.03,2.89,2.43,60,237,25.32,50,266,81.2,4,4,10.5,10.4,2419,9.8,2368,0.916,9,3639,3160,53.5,2692,2456,52.3,8.2,91.8,100,54.9,45.1,2060,1878,52.3,1454,704
Minnesota Wild*,11,0,0,27.7,82,46,28,8,100,0.61,227,198,4,3,0.39,0.03,2.77,2.41,39,246,15.85,32,234,86.32,4,3,8.9,9.7,2522,9,2265,0.913,8,3768,4023,48.4,2736,2977,47.9,7.5,89.6,97.1,50.1,49.9,1980,2098,48.6,1891,1046
Detroit Red Wings*,12,0,0,28.9,82,43,25,14,100,0.61,231,211,4,10,0.14,-0.03,2.82,2.57,70,294,23.81,55,288,80.9,3,8,8.8,9.7,2429,9.5,2322,0.909,6,3761,3583,51.2,2854,2749,50.9,7.5,92.1,99.6,50.3,49.7,2017,2170,48.2,2154,834
Winnipeg Jets*,13,0,0,27.3,82,43,26,13,99,0.604,223,204,7,6,0.29,0.04,2.72,2.49,48,269,17.84,56,308,81.82,10,5,13,11.6,2439,9.1,2350,0.913,7,4060,3392,54.5,3014,2604,53.6,7.8,91.8,99.6,53.9,46.1,1981,1962,50.2,2438,788
Ottawa Senators*,14,0,0,26.9,82,43,26,13,99,0.604,232,208,6,7,0.25,-0.04,2.83,2.54,47,280,16.79,44,257,82.88,6,8,10.3,11.1,2539,9.1,2635,0.921,6,3818,3711,50.7,2872,2666,51.9,8.9,91.4,100.3,50.7,49.3,2035,2030,50.1,1247,1045
Pittsburgh Penguins*,15,0,0,29.5,82,43,27,12,98,0.598,217,204,4,6,0.12,-0.01,2.65,2.49,49,254,19.29,42,277,84.84,6,11,13.7,12.1,2594,8.4,2401,0.915,10,3781,4016,48.5,2706,2828,48.9,8.5,93.2,101.8,46.8,53.2,2208,2029,52.1,1605,1188
Calgary Flames*,16,0,0,28.2,82,45,30,7,97,0.591,237,213,4,3,0.26,-0.05,2.89,2.6,48,255,18.82,36,186,80.65,6,3,7.6,9,2252,10.5,2391,0.911,5,4103,3692,52.6,3034,2697,52.9,8.2,92.2,100.4,51.3,48.7,2105,2204,48.9,1608,995
Boston Bruins,17,0,0,28.3,82,41,27,14,96,0.585,209,201,4,10,0.01,-0.01,2.55,2.45,38,213,17.84,44,244,81.97,8,3,9.5,8.5,2546,8.2,2449,0.918,5,3179,3588,47,2370,2746,46.3,7.6,92.8,100.4,46.4,53.6,1740,1999,46.5,1574,842
Los Angeles Kings,18,0,0,28.5,82,40,27,15,95,0.579,218,197,2,8,0.16,-0.03,2.66,2.4,47,247,19.03,45,236,80.93,7,2,9.1,9.1,2536,8.6,2214,0.911,9,4321,3867,52.8,3181,2715,54,8.1,91.2,99.2,52.7,47.3,1974,2017,49.5,2571,1152
Dallas Stars,19,0,0,28.5,82,41,31,10,92,0.561,257,257,4,3,0.06,0.05,3.13,3.13,55,290,18.97,49,254,80.71,9,7,9.6,11,2558,10,2454,0.895,6,3830,3908,49.5,2872,2922,49.6,9.4,93,102.4,49.7,50.3,1859,2136,46.5,1791,986
Florida Panthers,20,0,0,29.2,82,38,29,15,91,0.555,198,213,8,10,-0.23,-0.02,2.41,2.6,40,246,16.26,50,250,80,1,6,8.9,9,2516,7.9,2424,0.912,4,3833,3782,50.3,2798,2909,49,8.7,92.8,101.6,49.7,50.3,1943,2024,49,2101,873
Colorado Avalanche,21,0,0,28.6,82,39,31,12,90,0.549,209,223,10,4,-0.04,0.06,2.55,2.72,37,247,14.98,37,241,84.65,4,2,9.4,9.6,2286,9.1,2719,0.918,6,3769,3841,49.5,2720,2807,49.2,7.6,92.4,99.9,51.6,48.4,2053,1979,50.9,2358,1034
San Jose Sharks,22,0,0,28.5,82,40,33,9,89,0.543,224,226,4,6,-0.08,-0.03,2.73,2.76,55,254,21.65,48,223,78.48,4,5,9.3,10.4,2591,8.6,2436,0.907,8,3874,3394,53.3,2880,2507,53.5,7.6,92,99.6,54.2,45.8,1885,1962,49,2307,887
Columbus Blue Jackets,23,0,0,27,82,42,35,5,89,0.543,227,248,9,2,-0.16,0.01,2.77,3.02,53,244,21.72,60,303,80.2,5,5,11.9,11,2366,9.6,2742,0.91,2,4109,3935,51.1,2966,2854,51,7.7,91.6,99.2,48.4,51.6,2071,2060,50.1,1819,1081
Philadelphia Flyers,24,0,0,28.6,82,33,31,18,84,0.512,212,223,3,11,-0.23,0,2.59,2.72,60,256,23.44,61,266,77.07,3,6,10.2,9.2,2413,8.8,2481,0.91,3,3812,3545,51.8,2893,2567,53,8.6,92,100.6,49.5,50.5,2198,1915,53.4,1745,978
New Jersey Devils,25,0,0,30.5,82,32,36,14,78,0.476,176,209,5,7,-0.4,0.02,2.15,2.55,41,212,19.34,52,268,80.6,7,8,9.3,7.7,2008,8.8,2518,0.917,5,3775,3464,52.1,2805,2573,52.2,9.4,91.4,100.9,54,46,1768,1914,48,1657,891
Carolina Hurricanes,26,0,0,27.9,82,30,41,11,71,0.433,183,219,5,7,-0.44,0.02,2.23,2.67,45,240,18.75,29,190,84.74,2,4,6.7,8.2,2524,7.3,2236,0.902,2,3570,4128,46.4,2686,3143,46.1,8,91.4,99.3,45.2,54.8,2043,2076,49.6,2337,985
Toronto Maple Leafs,27,0,0,27.7,82,30,44,8,68,0.415,206,257,5,5,-0.61,0.02,2.51,3.13,45,283,15.9,52,266,80.45,7,12,10,10.7,2397,8.6,2748,0.906,2,3677,3813,49.1,2780,2789,49.9,9,91.2,100.2,49.7,50.3,1920,2112,47.6,1476,1024
Edmonton Oilers,28,0,0,27.2,82,24,44,14,62,0.378,193,276,5,7,-1.01,0.03,2.35,3.37,41,232,17.67,51,219,76.71,4,7,8.3,8.7,2331,8.3,2464,0.888,2,3878,3722,51,2833,2664,51.5,8.8,92.4,101.2,52.4,47.6,2040,1938,51.3,2232,1058
Arizona Coyotes,29,0,0,28.5,82,24,50,8,56,0.341,165,267,5,5,-1.2,0.04,2.01,3.26,46,230,20,65,279,76.7,4,7,9.5,8.4,2393,6.9,2722,0.902,1,3802,3462,52.3,2764,2579,51.7,8.5,92.3,100.8,51.9,48.1,1963,2019,49.3,2264,883
Buffalo Sabres,30,0,0,26.9,82,23,51,8,54,0.329,153,269,8,5,-1.33,0.05,1.87,3.28,30,224,13.39,64,257,75.1,7,8,10.4,9.6,1984,7.7,2920,0.908,1,3826,4042,48.6,2796,3031,48,5.8,91.1,96.9,49.4,50.6,2157,1970,52.3,2333,1011
