,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks*,2,0,0,27.7,82,54,20,8,116,0.707,263,203,3,6,0.68,-0.01,3.21,2.48,44,275,16,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6,3795,3785,50.1,2883,2804,50.7,10,92.4,102.4,50.7,49.3,2090,2122,49.6,1899,981
Boston Bruins*,1,0,0,27.6,82,54,19,9,117,0.713,258,171,3,6,0.92,-0.11,3.15,2.09,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9,4067,3519,53.6,3019,2666,53.1,9.1,93.9,103,53.7,46.3,2084,1979,51.3,1867,853
Buffalo Sabres,30,0,0,26.6,82,21,51,10,52,0.317,150,243,7,5,-1.09,0.02,1.83,2.96,36,256,14.06,51,274,81.39,5,5,11,10.4,2156,7,2816,0.914,0,3201,4207,43.2,2383,3160,43,6.1,91.8,98,44.8,55.2,1809,2070,46.6,1866,1047
Calgary Flames,27,0,0,26.7,82,35,40,7,77,0.47,202,238,7,3,-0.35,0.04,2.46,2.9,39,249,15.66,43,235,81.7,12,7,10.5,10.6,2199,9.2,2345,0.899,2,3549,4040,46.8,2593,2802,48.1,8.3,90.5,98.7,48.8,51.2,1859,2127,46.6,1622,1238
Carolina Hurricanes,24,0,0,27,82,36,35,11,83,0.506,205,226,2,4,-0.29,-0.01,2.5,2.76,41,281,14.59,44,241,81.74,11,8,7.9,9,2561,8,2537,0.911,2,4035,4009,50.2,2972,3041,49.4,7.3,91.9,99.2,51.6,48.4,2142,1937,52.5,1711,968
Chicago Blackhawks*,7,0,0,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,3.18,2.59,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3,4126,3282,55.7,3043,2435,55.5,8.8,91.2,100,55.7,44.3,2065,1904,52,1294,847
Colorado Avalanche*,3,0,0,26.9,82,52,22,8,112,0.683,245,216,5,4,0.4,0.04,2.99,2.63,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4,3650,4122,47,2727,3104,46.8,9.5,92.5,102,49,51,1956,2022,49.2,1920,1018
Columbus Blue Jackets*,14,0,0,26.1,82,43,32,7,93,0.567,226,214,5,2,0.16,-0.03,2.76,2.61,54,280,19.29,50,280,82.14,9,8,11.1,11,2431,9.3,2524,0.915,8,3526,3524,50,2624,2640,49.8,8.3,92.2,100.5,48.4,51.6,1966,1782,52.5,2413,884
Dallas Stars*,16,0,0,28.2,82,40,31,11,91,0.555,231,223,4,5,0.14,0.05,2.82,2.72,46,290,15.86,49,263,81.37,8,5,11,11.6,2597,8.9,2492,0.911,6,3911,3858,50.3,2914,2841,50.6,8.5,91.6,100.1,51.2,48.8,2031,1998,50.4,1512,1017
Detroit Red Wings*,15,0,0,28.6,82,39,28,15,93,0.567,217,221,5,9,-0.14,-0.04,2.65,2.7,50,282,17.73,50,295,83.05,3,5,8.8,8.6,2456,8.8,2400,0.908,5,3527,3353,51.3,2714,2582,51.2,8.3,91.6,99.8,53.7,46.3,1942,1909,50.4,1497,771
