,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Edmonton Oilers,28,0,0,26.5,82,29,44,9,67,0.409,199,267,4,3,-0.75,0.07,2.43,3.26,46,271,16.97,50,280,82.14,4,13,11.8,12,2208,9,2696,0.901,4,3341,4116,44.8,2470,3081,44.5,8.3,90.6,98.9,45.2,54.8,1929,1962,49.6,1632,1035
Florida Panthers,29,0,0,29,82,29,45,8,66,0.402,188,262,8,6,-0.87,0.01,2.29,3.2,27,269,10.04,63,262,75.95,8,6,10.3,10.9,2451,7.7,2551,0.897,1,3699,3592,50.7,2824,2771,50.5,7.5,90.6,98.2,49.3,50.7,1878,2037,48,1742,821
Los Angeles Kings*,10,1,1,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13,4134,3159,56.7,3070,2414,56,7,93.4,100.4,54.7,45.3,2007,1772,53.1,2374,745
Minnesota Wild*,11,0,0,27.2,82,43,27,12,98,0.598,199,198,8,8,0.07,0.05,2.43,2.41,45,252,17.86,53,250,78.8,4,8,9.5,9.9,2180,9.1,2273,0.913,8,3356,3594,48.3,2489,2641,48.5,8.3,92.7,101,49.2,50.8,1910,1871,50.5,1318,953
Montreal Canadiens*,9,0,0,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,2.55,2.45,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8,3570,4061,46.8,2633,2851,48,8.2,92.8,101,44.8,55.2,1976,2039,49.2,1610,1210
Nashville Predators,19,0,0,26.7,82,38,32,12,88,0.537,214,233,2,9,-0.25,0.07,2.61,2.84,46,239,19.25,47,238,80.25,2,0,9.9,9.4,2382,9,2370,0.902,5,3596,3829,48.4,2736,2793,49.5,8.1,90.8,98.9,47.4,52.6,2145,1908,52.9,1518,1036
New Jersey Devils,21,0,0,30.6,82,35,29,18,88,0.537,197,195,0,13,-0.15,-0.02,2.4,2.38,47,241,19.5,36,264,86.36,9,4,8,8.2,2199,9,2089,0.907,6,3418,2892,54.2,2550,2232,53.3,7.7,90.8,98.5,53.2,46.8,1745,1978,46.9,1471,660
New York Islanders,26,0,0,26.2,82,34,37,11,79,0.482,216,261,9,6,-0.51,0,2.63,3.18,49,276,17.75,58,265,78.11,8,7,12.4,11.5,2537,8.5,2464,0.894,4,3849,3946,49.4,2811,2895,49.3,7.7,90.5,98.1,50.7,49.3,1875,2053,47.7,1996,1051
New York Rangers*,12,1,0,27.4,82,45,31,6,96,0.585,214,190,4,3,0.26,-0.04,2.61,2.32,48,264,18.18,34,232,85.34,10,7,10,10.4,2719,7.9,2412,0.921,8,4082,3730,52.3,3057,2789,52.3,6.9,92.8,99.7,52,48,1962,2053,48.9,1805,941
Ottawa Senators,20,0,0,26.6,82,37,31,14,88,0.537,229,258,7,7,-0.37,-0.02,2.79,3.15,50,271,18.45,61,320,80.94,5,10,13.3,12,2691,8.5,2849,0.909,5,4134,3865,51.7,3130,3085,50.4,7.8,91.9,99.7,51,49,2101,1965,51.7,2149,780
Philadelphia Flyers*,13,0,0,27.7,82,42,30,10,94,0.573,233,227,3,8,-0.01,-0.02,2.84,2.77,58,294,19.73,48,316,84.81,8,11,14.2,13.4,2490,9.4,2508,0.909,6,3784,3744,50.3,2734,2774,49.6,8.6,91.8,100.4,51.4,48.6,1918,1951,49.6,2026,970
Phoenix Coyotes,18,0,0,28.7,82,37,30,15,89,0.543,210,224,6,7,-0.16,0.03,2.56,2.73,56,282,19.86,57,272,79.04,3,5,9.9,9.9,2498,8.4,2540,0.912,5,3841,3769,50.5,2833,2848,49.9,7.4,92.1,99.5,51.2,48.8,2035,1909,51.6,2041,921
Pittsburgh Penguins*,6,0,0,28.3,82,51,24,7,109,0.665,242,204,7,3,0.47,-0.04,2.95,2.49,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6,3537,3710,48.8,2644,2713,49.4,8.8,91.5,100.3,49.3,50.7,1918,1880,50.5,2019,997
San Jose Sharks*,5,0,0,28.7,82,51,22,9,111,0.677,239,193,10,7,0.6,0,2.91,2.35,50,291,17.18,33,219,84.93,8,6,9,11.2,2851,8.4,2281,0.915,6,4354,3803,53.4,3228,2729,54.2,7.9,92.1,100.1,49.1,50.9,2249,2024,52.6,1553,1074
St. Louis Blues*,4,0,0,27.4,82,52,23,7,111,0.677,239,188,9,3,0.71,0.01,2.91,2.29,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10,2163,0.913,9,3762,3343,52.9,2811,2432,53.6,8.9,92.1,101,52.5,47.5,2016,1864,52,1732,911
Tampa Bay Lightning*,8,0,0,27.1,82,46,27,9,101,0.616,232,209,8,6,0.25,-0.06,2.83,2.55,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7,3781,3649,50.9,2894,2735,51.4,8.4,92.3,100.7,51.9,48.1,1927,1984,49.3,1535,914
Toronto Maple Leafs,23,0,0,26.2,82,38,36,8,84,0.512,222,252,9,4,-0.34,-0.04,2.71,3.07,50,252,19.84,58,268,78.36,7,12,12.7,11.8,2290,9.7,2945,0.914,2,3514,4593,43.3,2598,3503,42.6,8.7,92.6,101.3,40.6,59.4,2089,2226,48.4,2417,1090
Vancouver Canucks,25,0,0,28.6,82,36,35,11,83,0.506,191,216,5,7,-0.3,0.03,2.33,2.63,39,257,15.18,46,274,83.21,6,4,13.6,12.1,2527,7.6,2327,0.907,7,3943,3734,51.4,2904,2707,51.8,7.1,91.5,98.6,48.4,51.6,2070,1934,51.7,1609,1027
Washington Capitals,17,0,0,26.5,82,38,30,14,90,0.549,225,229,10,11,-0.08,-0.02,2.74,2.79,68,291,23.37,51,284,82.04,5,10,11.6,12.2,2412,9.3,2750,0.917,5,3597,3946,47.7,2648,2957,47.2,8,92.3,100.3,50.6,49.4,1881,2045,47.9,1795,989
Winnipeg Jets,22,0,0,26.3,82,37,35,10,84,0.512,219,231,8,6,-0.07,0.06,2.67,2.82,40,259,15.44,49,291,83.16,5,6,11.9,10.6,2516,8.7,2472,0.907,3,3932,3870,50.4,2919,2830,50.8,8.3,91.5,99.8,51.3,48.7,1784,2054,46.5,2159,1040
