,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Philadelphia Flyers,20,0,0,27.9,48,23,22,3,49,0.51,132,139,1,2,-0.14,0.03,2.75,2.9,37,171,21.64,26,184,85.87,2,3,15.7,15.6,1394,9.5,1371,0.899,1,2071,2276,47.6,1513,1630,48.1,8.4,90.3,98.7,44.6,55.4,1077,1178,47.8,1217,646
Phoenix Coyotes,18,0,0,28.4,48,21,18,9,51,0.531,121,125,4,6,-0.1,0.03,2.52,2.6,25,169,14.79,34,169,79.88,2,2,10.5,10.1,1482,8.2,1467,0.915,6,2311,2264,50.5,1746,1701,50.7,7.6,92.7,100.2,52,48,1157,1097,51.3,1164,563
Pittsburgh Penguins*,2,0,0,29,48,36,12,0,72,0.75,162,119,3,0,0.91,-0.05,3.38,2.48,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,0.915,5,2144,2227,49.1,1604,1614,49.8,10.1,93.1,103.2,47.9,52.1,1175,1101,51.6,1154,613
San Jose Sharks*,9,0,0,28.9,48,25,16,7,57,0.594,116,112,8,4,0.17,0.01,2.42,2.33,34,169,20.12,22,147,85.03,3,4,10.9,11.2,1526,7.6,1390,0.919,5,2417,2306,51.2,1760,1628,51.9,6.4,92.6,99,50.1,49.9,1278,1130,53.1,972,678
St. Louis Blues*,6,0,0,26.3,48,29,17,2,60,0.625,124,114,5,1,0.31,0.02,2.58,2.38,29,149,19.46,23,150,84.67,3,5,11.1,11.3,1336,9.3,1161,0.902,7,2068,1927,51.8,1539,1380,52.7,8.3,91.3,99.5,51.2,48.8,1175,1098,51.7,1055,547
Tampa Bay Lightning,28,0,0,27.7,48,18,26,4,40,0.417,147,147,1,3,-0.11,-0.07,3.06,3.06,31,163,19.02,30,155,80.65,0,4,12,13,1323,11.1,1451,0.899,1,2025,2245,47.4,1528,1695,47.4,10.4,90.7,101.1,47.2,52.8,1203,1161,50.9,1048,550
Toronto Maple Leafs*,10,0,0,26,48,26,17,5,57,0.594,145,128,0,5,0.27,0.02,3.02,2.67,31,166,18.67,19,157,87.9,1,4,16.1,15.2,1264,11.5,1549,0.917,6,2052,2576,44.3,1491,1870,44.4,10.9,92.1,102.9,42.9,57.1,1189,1185,50.1,1523,706
Vancouver Canucks*,7,0,0,28.2,48,26,15,7,59,0.615,122,115,5,6,0.07,-0.06,2.54,2.4,26,165,15.76,27,169,84.02,2,3,12.7,13.1,1350,9,1389,0.917,7,2124,1993,51.6,1558,1529,50.5,8.3,92.6,100.9,50.9,49.1,1079,1201,47.3,969,464
Washington Capitals*,11,0,0,26.6,48,27,18,3,57,0.594,146,130,3,0,0.31,-0.09,3.04,2.71,44,164,26.83,36,163,77.91,3,4,10.8,11.5,1350,10.8,1551,0.916,4,2138,2269,48.5,1546,1650,48.4,9,92.7,101.7,47.7,52.3,1171,1152,50.4,1016,619
Winnipeg Jets,19,0,0,26.4,48,24,21,3,51,0.531,126,141,2,3,-0.36,-0.03,2.63,2.94,20,145,13.79,28,138,79.71,1,3,11.1,10.5,1389,9.1,1424,0.901,1,2321,2350,49.7,1695,1721,49.6,9,91.1,100,49.4,50.6,1110,1150,49.1,1319,629
