,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks*,3,0,0,28.8,48,30,12,6,66,0.688,134,115,6,3,0.43,-0.02,2.79,2.4,29,135,21.48,30,162,81.48,5,5,11.1,9.5,1347,9.9,1340,0.914,5,2089,2271,47.9,1524,1630,48.3,9.2,92.7,101.9,48.9,51.1,1115,1242,47.3,1084,641
Boston Bruins*,5,1,0,27.8,48,28,14,6,62,0.646,127,106,4,3,0.44,-0.02,2.65,2.21,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,0.923,6,2546,2111,54.7,1865,1565,54.4,7.8,92.8,100.6,49.8,50.2,1308,1024,56.1,1111,546
Buffalo Sabres,21,0,0,27.3,48,21,21,6,48,0.5,118,139,7,4,-0.31,0.07,2.46,2.9,23,163,14.11,37,178,79.21,7,7,13.1,12.4,1339,8.8,1606,0.913,1,1952,2381,45,1456,1798,44.7,8,92.6,100.7,48.9,51.1,1028,1223,45.7,979,583
Calgary Flames,26,0,0,29,48,19,25,4,42,0.438,128,157,0,3,-0.65,0.02,2.67,3.27,31,155,20,28,151,81.46,6,2,10.8,9.9,1293,9.9,1412,0.889,0,2035,2262,47.4,1509,1668,47.5,8.4,89.3,97.7,44.6,55.4,1155,1290,47.2,869,594
Carolina Hurricanes,25,0,0,26.9,48,19,25,4,42,0.438,127,159,1,1,-0.65,0.02,2.65,3.31,24,165,14.55,36,161,77.64,3,4,11.2,10.6,1545,8.2,1546,0.897,2,2475,2343,51.4,1815,1780,50.5,7.7,90.6,98.3,53.1,46.9,1201,1196,50.1,1026,563
Chicago Blackhawks*,1,1,1,26.8,48,36,7,5,77,0.802,149,97,6,5,1.04,-0.07,3.1,2.02,25,150,16.67,18,141,87.23,5,5,9.2,10,1494,10,1258,0.923,7,2249,1923,53.9,1686,1389,54.8,9.4,92.9,102.3,54,46,1171,1134,50.8,799,534
Colorado Avalanche,29,0,0,26.7,48,16,25,7,39,0.406,114,150,2,2,-0.73,0.02,2.38,3.13,21,140,15,36,183,80.33,3,3,12.5,9.8,1415,8.1,1508,0.901,3,2191,2296,48.8,1618,1678,49.1,7.5,90.8,98.3,50.1,49.9,1151,1099,51.2,1165,618
Columbus Blue Jackets,15,0,0,26.3,48,24,17,7,55,0.573,115,115,5,4,0.03,0.01,2.4,2.4,22,155,14.19,25,144,82.64,3,2,12.6,12.8,1283,9,1436,0.92,4,1977,2170,47.7,1413,1640,46.3,8.6,92.9,101.5,48.7,51.3,1172,1081,52,1121,530
Dallas Stars,22,0,0,28.2,48,22,22,4,48,0.5,128,141,2,1,-0.21,0.05,2.67,2.94,29,171,16.96,34,179,81.01,2,3,13,13,1261,10.2,1489,0.905,1,2086,2195,48.7,1477,1662,47.1,9.6,91.3,100.9,47.3,52.7,1087,1140,48.8,1108,533
Detroit Red Wings*,13,0,0,28.2,48,24,16,8,56,0.583,122,110,2,5,0.2,0.01,2.54,2.29,34,185,18.38,30,164,81.71,3,5,9.8,11.5,1447,8.4,1322,0.917,5,2187,1880,53.8,1652,1423,53.7,7.1,93,100.1,56.1,43.9,1053,1073,49.5,793,457
Edmonton Oilers,24,0,0,26.4,48,19,22,7,45,0.469,123,131,2,3,-0.22,-0.03,2.56,2.73,34,169,20.12,29,175,83.43,4,1,10.8,11.4,1285,9.6,1572,0.917,3,1924,2388,44.6,1454,1772,45.1,8.1,92.1,100.2,47.8,52.2,970,1177,45.2,968,616
Florida Panthers,30,0,0,27.8,48,15,27,6,36,0.375,109,170,3,1,-1.18,0.05,2.27,3.54,29,142,20.42,39,151,74.17,4,1,11.3,10.2,1400,7.8,1504,0.887,0,2131,2218,49,1595,1702,48.4,6.4,89.6,96,55.4,44.6,1086,1127,49.1,1049,516
Los Angeles Kings*,8,0,0,26.5,48,27,16,5,59,0.615,131,114,2,4,0.29,-0.02,2.73,2.38,33,166,19.88,27,161,83.23,2,1,10,10.6,1431,9.2,1198,0.905,2,2319,1791,56.4,1746,1386,55.7,8,91.2,99.2,55.3,44.7,1181,1067,52.5,1349,405
Minnesota Wild*,17,0,0,27.8,48,26,19,3,55,0.573,118,125,4,2,-0.16,-0.05,2.46,2.6,27,151,17.88,26,135,80.74,1,0,11.4,11.8,1382,8.5,1299,0.904,3,2036,2088,49.4,1516,1554,49.4,7.8,91.1,98.9,49.5,50.5,1212,1109,52.2,911,534
Montreal Canadiens*,4,0,0,27.8,48,29,14,5,63,0.656,146,124,3,2,0.46,-0.02,3.04,2.58,42,203,20.69,35,173,79.77,0,2,13.3,14.9,1468,9.9,1293,0.904,4,2254,2012,52.8,1623,1434,53.1,8.8,91.7,100.5,51.1,48.9,1173,1178,49.9,977,578
Nashville Predators,27,0,0,27.3,48,16,23,9,41,0.427,109,133,2,6,-0.5,0.09,2.27,2.77,24,140,17.14,34,139,75.54,1,4,9.8,10.1,1244,8.8,1335,0.9,5,1928,2187,46.9,1435,1593,47.4,7.9,91.8,99.7,43.9,56.1,1129,1147,49.6,954,594
New Jersey Devils,23,0,0,30.8,48,19,19,10,48,0.5,110,122,2,7,-0.31,0.04,2.29,2.54,28,176,15.91,32,169,81.07,11,6,10.6,11.5,1363,8.1,1110,0.89,3,2039,1615,55.8,1522,1214,55.6,6.6,90.7,97.3,52.4,47.6,1051,1132,48.1,836,401
New York Islanders*,16,0,0,28.7,48,24,17,7,55,0.573,135,136,4,3,0.03,0.03,2.81,2.83,31,156,19.87,28,142,80.28,2,0,9.6,10.3,1485,9.1,1352,0.899,3,2306,2292,50.2,1680,1624,50.8,8.2,90.4,98.6,51.6,48.4,1119,1119,50,988,668
New York Rangers*,12,0,0,27.2,48,26,18,4,56,0.583,126,108,4,4,0.38,0,2.63,2.25,24,153,15.69,28,148,81.08,5,4,9.3,10.1,1483,8.5,1353,0.92,2,2354,2226,51.4,1748,1560,52.8,7.7,93.2,100.9,53.8,46.2,1148,1132,50.4,1327,666
Ottawa Senators*,14,0,0,27.4,48,25,17,6,56,0.583,112,100,4,4,0.27,0.02,2.33,2.08,25,157,15.92,20,167,88.02,2,1,13.6,13.8,1591,7,1502,0.933,4,2496,2163,53.6,1818,1642,52.5,6.4,93.5,99.9,54.6,45.4,1145,1126,50.4,1191,521
