,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Dallas Stars,19,0,0,28.5,82,42,32,8,92,0.561,231,222,4,3,0.17,0.04,2.82,2.71,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,3932,4332,47.6,2878,3264,46.9,9.4,90.9,100.3,46.1,53.9,1973,2072,48.8,1731,1068
Calgary Flames,20,0,0,28.4,82,37,35,10,84,0.512,216,243,2,5,-0.33,0.03,2.63,2.96,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,3736,4362,46.1,2847,3299,46.3,8.2,91.4,99.6,49.8,50.2,1974,2010,49.5,1617,1063
Carolina Hurricanes,21,0,0,27,82,36,35,11,83,0.506,225,253,3,3,-0.35,-0.01,2.74,3.09,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,3886,4327,47.3,2877,3155,47.7,8.2,90.3,98.5,49.2,50.8,2087,2042,50.5,1871,1172
New York Islanders,22,0,0,28.4,82,35,37,10,80,0.488,261,293,3,3,-0.4,-0.01,3.18,3.57,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,3894,3991,49.4,2922,2944,49.8,9,91.8,100.7,48,52,2118,1862,53.2,1572,1047
Edmonton Oilers,23,0,0,26.8,82,36,40,6,78,0.476,229,262,5,1,-0.32,0.03,2.79,3.2,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,4180,3825,52.2,3190,2829,53,8.3,90.8,99,53.4,46.6,2110,2119,49.9,1832,996
New York Rangers,24,0,0,28.7,82,34,39,9,77,0.47,228,263,3,5,-0.46,-0.01,2.78,3.21,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,4193,4128,50.4,3132,2905,51.9,8.4,90.9,99.2,50.9,49.1,2090,1993,51.2,1303,1223
Chicago Blackhawks,25,0,0,28,82,33,39,10,76,0.463,228,254,1,2,-0.26,0.07,2.78,3.1,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,4116,3852,51.7,3056,2746,52.7,8.1,91.9,100,49.4,50.6,2066,2005,50.7,1801,1106
Detroit Red Wings,26,0,0,30.2,82,30,39,13,73,0.445,212,254,5,1,-0.48,-0.01,2.59,3.1,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,4086,3845,51.5,3079,2916,51.4,9.8,92.4,102.2,52.4,47.6,1982,2122,48.3,1629,929
Vancouver Canucks,27,0,0,28.2,82,31,40,11,73,0.445,218,259,0,5,-0.51,0.05,2.66,3.16,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,4221,4199,50.1,3108,3250,48.9,9.4,92.2,101.6,47.8,52.2,2288,2087,52.3,1563,949
Montreal Canadiens,28,0,0,27.8,82,29,40,13,71,0.433,207,258,2,6,-0.68,0,2.52,3.15,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,3687,4007,47.9,2778,3033,47.8,7.8,91.4,99.2,48.7,51.3,1983,2044,49.2,1642,974
Arizona Coyotes,29,0,0,26.5,82,29,41,12,70,0.427,206,251,2,5,-0.53,0.05,2.51,3.06,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,4141,3952,51.2,3076,2940,51.1,9.3,91.7,101,52.1,47.9,2004,2101,48.8,1666,1012
Ottawa Senators,30,0,0,29.3,82,28,43,11,67,0.409,219,284,2,7,-0.85,0,2.67,3.46,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,3797,4092,48.1,2792,3086,47.5,10.1,91.7,101.8,49.5,50.5,2001,1962,50.5,1691,1006
Buffalo Sabres,31,0,0,27.1,82,25,45,12,62,0.378,198,278,1,2,-0.98,0.01,2.41,3.39,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,4000,3827,51.1,2998,2831,51.4,9.2,92.2,101.4,50,50,2123,1888,52.9,1703,996
