,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Nashville Predators*,1,0,0,28.4,82,53,18,11,117,0.713,261,204,6,7,0.71,0.03,3.18,2.49,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11,3882,4170,48.2,2919,3125,48.3,8.9,92.8,101.7,47.4,52.6,2033,1938,51.2,1827,1045
Winnipeg Jets*,2,0,0,26.8,82,52,20,10,114,0.695,273,216,4,2,0.74,0.02,3.33,2.63,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,4038,4330,48.3,2910,3288,47,8,91.3,99.2,46.9,53.1,2042,2220,47.9,1902,1042
Tampa Bay Lightning*,3,0,0,27.5,82,54,23,5,113,0.689,290,234,6,2,0.66,-0.07,3.54,2.85,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,4120,3605,53.3,3102,2712,53.4,8.9,91.7,100.5,55.4,44.6,2106,2046,50.7,1814,893
Boston Bruins*,4,0,0,28.6,82,50,20,12,112,0.683,267,211,3,3,0.62,-0.07,3.26,2.57,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,4,3608,3941,47.8,2770,3039,47.7,6.8,90.4,97.2,50.7,49.3,2051,1983,50.8,1671,902
Vegas Golden Knights*,5,1,0,28,82,51,24,7,109,0.665,268,225,4,3,0.52,-0.01,3.27,2.74,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10,2521,0.911,5,4363,3836,53.2,3283,2905,53.1,7.3,91,98.3,51.8,48.2,2028,2028,50,1574,931
Washington Capitals*,6,1,1,28.4,82,49,26,7,105,0.64,256,238,3,1,0.21,-0.04,3.12,2.9,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,4487,3727,54.6,3291,2866,53.5,7.6,90.1,97.7,56.7,43.3,2172,1867,53.8,1528,861
Toronto Maple Leafs*,7,0,0,28.3,82,49,26,7,105,0.64,270,230,7,2,0.49,-0.06,3.29,2.8,56,224,25,43,231,81.39,4,5,7,6.9,2640,10.2,2776,0.917,8,4458,4018,52.6,3125,2994,51.1,7.7,91.2,98.9,55.5,44.5,2021,2105,49,1315,1024
Anaheim Ducks*,8,0,0,28.7,82,44,25,13,101,0.616,231,209,4,7,0.24,0.01,2.82,2.55,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,9,3693,4102,47.4,2677,3034,46.9,9.3,91.9,101.2,47.5,52.5,1692,2127,44.3,1527,1068
Minnesota Wild*,9,0,0,29.5,82,45,26,11,101,0.616,250,229,3,3,0.29,0.04,3.05,2.79,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,4239,4009,51.4,3253,2952,52.4,8.1,92.3,100.4,52.2,47.8,2027,2152,48.5,1652,1057
San Jose Sharks*,10,0,0,28.8,82,45,27,10,100,0.61,247,226,5,3,0.28,0,3.01,2.76,53,257,20.62,34,224,84.82,8,3,7.7,8,2702,9.1,2488,0.909,6,3962,3761,51.3,2861,2702,51.4,8.6,91.9,100.5,47.5,52.5,2192,1971,52.7,1751,1059
Pittsburgh Penguins*,11,0,0,27.7,82,47,29,6,100,0.61,270,248,2,2,0.23,-0.04,3.29,3.02,68,260,26.15,53,265,80,6,3,9.5,9.1,2823,9.6,2553,0.903,4,3748,3930,48.8,2880,2958,49.3,7.8,91.2,99,48.9,51.1,2001,2125,48.5,1517,972
Philadelphia Flyers*,12,0,0,27.4,82,42,26,14,98,0.598,249,236,2,7,0.07,-0.03,3.04,2.88,54,261,20.69,54,223,75.78,3,10,8.3,9,2631,9.5,2448,0.904,3,4253,4104,50.9,3198,3024,51.4,8.1,91.1,99.2,52.6,47.4,1992,2116,48.5,2028,1080
Los Angeles Kings*,13,0,0,29.1,82,45,29,8,98,0.598,237,202,2,1,0.44,0,2.89,2.46,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8,4039,4151,49.3,3147,3140,50.1,8.1,91.7,99.9,45.5,54.5,2181,2095,51,1596,1011
New Jersey Devils*,14,0,0,27.7,82,44,29,9,97,0.591,243,240,5,4,0.02,-0.03,2.96,2.93,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,3929,3917,50.1,2930,2938,49.9,8.8,92.3,101.1,50.6,49.4,1962,2019,49.3,1995,979
Columbus Blue Jackets*,15,0,0,26.4,82,45,30,7,97,0.591,236,226,6,4,0.11,-0.04,2.88,2.76,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,3607,4060,47,2740,2970,48,9.4,91.8,101.2,47.3,52.7,1967,1987,49.7,1306,1090
Florida Panthers,16,0,0,27.8,82,44,30,8,96,0.585,245,243,3,3,-0.01,-0.04,2.99,2.96,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,4141,4077,50.4,2977,2949,50.2,6.7,91.4,98.1,50.7,49.3,1947,2154,47.5,2062,1128
Colorado Avalanche*,17,0,0,26.4,82,43,30,9,95,0.579,255,236,2,1,0.28,0.04,3.11,2.88,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,4064,3891,51.1,3028,2895,51.1,8.9,93.2,102.1,48.3,51.7,2250,1917,54,1561,996
St. Louis Blues,18,0,0,28.5,82,44,32,6,94,0.573,223,222,3,0,0.1,0.05,2.72,2.71,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,3772,4038,48.3,2919,3054,48.9,8.3,91.4,99.6,47.3,52.7,1901,2207,46.3,1689,984
