,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks*,6,0,0,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,2.68,2.4,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,3693,3756,49.6,2790,2797,49.9,8.3,92.4,100.8,47.8,52.2,2103,1772,54.3,2000,959
Arizona Coyotes,28,0,0,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,2.33,3.15,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,3617,4387,45.2,2712,3380,44.5,7.5,91.9,99.4,43.8,56.2,2005,2160,48.1,1998,1007
Boston Bruins*,13,0,0,28.8,82,44,31,7,95,0.579,232,209,2,3,0.27,0,2.83,2.55,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,4147,3421,54.8,3123,2523,55.3,7.5,90.8,98.4,53.3,46.7,2197,1904,53.6,1665,898
Buffalo Sabres,26,0,0,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,2.43,2.82,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,3664,4080,47.3,2809,3122,47.4,6.7,92.5,99.2,47.5,52.5,1968,2100,48.4,1800,958
Calgary Flames*,18,0,0,28.3,82,45,33,4,94,0.573,222,219,4,2,0.02,-0.04,2.71,2.67,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5,3664,3591,50.5,2679,2674,50,8.4,91.5,99.9,47.9,52.1,1943,2039,48.8,1472,917
Carolina Hurricanes,20,0,0,26.8,82,36,31,15,87,0.53,212,230,3,6,-0.21,0.05,2.59,2.8,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3,4035,3841,51.2,2956,2910,50.4,7.6,90.7,98.3,54.7,45.3,2001,1820,52.4,1549,931
Chicago Blackhawks*,3,0,0,29.4,82,50,23,9,109,0.665,240,212,4,1,0.32,-0.06,2.93,2.59,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,3974,3905,50.4,2869,2857,50.1,9.2,92.8,102,52.1,47.9,1879,2056,47.8,1107,1048
Colorado Avalanche,30,0,0,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,2.01,3.37,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,3651,3804,49,2698,2901,48.2,6.7,90.3,97,49.2,50.8,2108,1862,53.1,1577,903
Columbus Blue Jackets*,4,0,0,26.2,82,50,24,8,108,0.659,247,193,2,2,0.68,0.02,3.01,2.35,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,3972,3937,50.2,2963,2925,50.3,8.8,92.8,101.5,49,51,2043,2127,49,1579,1012
Dallas Stars,25,0,0,28.5,82,34,37,11,79,0.482,222,260,1,2,-0.48,-0.01,2.71,3.17,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,4061,4025,50.2,2965,2888,50.7,8.2,90.9,99.1,46.9,53.1,2103,2104,50,1461,1137
