,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Detroit Red Wings,24,0,0,28.4,82,33,36,13,79,0.482,198,244,9,0,-0.41,0.04,2.41,2.98,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,3576,3786,48.6,2741,2902,48.6,7.9,90.9,98.8,51.3,48.7,2063,1909,51.9,1534,884
Edmonton Oilers*,7,0,0,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,2.96,2.52,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,3892,3864,50.2,2907,2773,51.2,8.5,92.2,100.7,51,49,1897,2129,47.1,1968,1091
Florida Panthers,23,0,0,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,2.5,2.82,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,3746,3664,50.6,2885,2872,50.1,7.2,91.4,98.6,51.3,48.7,1900,2077,47.8,1579,792
Los Angeles Kings,22,0,0,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,2.43,2.45,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,4150,3432,54.7,3056,2551,54.5,6.9,91,97.9,56.3,43.7,2087,1976,51.4,2172,881
Minnesota Wild*,5,0,0,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,3.21,2.51,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,3845,3934,49.4,2917,2921,50,9.8,92.1,101.9,49.5,50.5,2132,1962,52.1,1231,1013
Montreal Canadiens*,8,0,0,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,2.72,2.41,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,4149,3761,52.5,2997,2733,52.3,8,92.8,100.9,48.6,51.4,2122,2032,51.1,1739,1028
Nashville Predators*,17,1,0,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,2.9,2.68,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,4020,3840,51.1,2974,2884,50.8,8.2,91.9,100.1,49.6,50.4,2145,2019,51.5,1599,956
New Jersey Devils,27,0,0,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,2.2,2.94,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,3349,3724,47.3,2597,2865,47.5,6.9,91.7,98.6,45.4,54.6,1936,2011,49,1550,859
New York Islanders,15,0,0,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,2.91,2.9,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,3856,4245,47.6,2836,3095,47.8,9.5,91.4,100.9,49.1,50.9,1848,2074,47.1,2004,1150
New York Rangers*,9,0,0,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,3.09,2.63,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,3735,4036,48.1,2833,2946,49,9.8,92.2,102,48.8,51.2,1965,2042,49,1635,1090
Ottawa Senators*,12,0,0,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,2.51,2.56,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,3821,4063,48.5,2796,2923,48.9,7.6,92.4,100,51.2,48.8,2086,1988,51.2,2025,1140
Philadelphia Flyers,19,0,0,27.6,82,39,33,10,88,0.537,212,231,7,5,-0.17,0.04,2.59,2.82,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5,3999,3812,51.2,2880,2699,51.6,7.4,91.2,98.7,52.8,47.2,2060,1850,52.7,1917,1113
Pittsburgh Penguins*,2,1,1,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,3.39,2.79,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,4004,4024,49.9,3023,2914,50.9,9.3,92.3,101.6,52.6,47.4,2004,2213,47.5,1944,1110
San Jose Sharks*,11,0,0,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,2.67,2.44,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,3971,3864,50.7,2942,2700,52.1,8.6,91.8,100.4,51.9,48.1,1887,2041,48,1461,1164
St. Louis Blues*,10,0,0,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,2.84,2.63,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,3595,3614,49.9,2680,2655,50.2,9.3,91.1,100.4,48.5,51.5,1983,1955,50.4,1618,959
Tampa Bay Lightning,16,0,0,26.8,82,42,30,10,94,0.573,230,224,4,3,0.09,0.01,2.8,2.73,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3,3808,3616,51.3,2862,2791,50.6,8.2,91.8,100,49.7,50.3,1898,2103,47.4,1735,825
Toronto Maple Leafs*,14,0,0,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,3.05,2.85,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,4181,4087,50.6,3119,3131,49.9,8.6,91.7,100.3,49,51,2070,2072,50,1823,956
Vancouver Canucks,29,0,0,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,2.17,2.94,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,3592,3856,48.2,2630,2968,47,7.3,91.6,98.9,50.7,49.3,2084,2024,50.7,1411,888
Washington Capitals*,1,0,0,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,3.18,2.16,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,3842,3642,51.3,2842,2736,51,9.7,93.2,103,52.2,47.8,1904,1925,49.7,1604,906
Winnipeg Jets,21,0,0,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,3,3.11,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,3611,3705,49.4,2720,2765,49.6,9.4,91.1,100.5,49.1,50.9,1887,1962,49,1783,940
