,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Detroit Red Wings*,6,0,0,30.7,82,47,25,10,104,0.634,257,237,4,4,0.27,0.03,3.13,2.89,67,301,22.26,53,300,82.33,5,7,9.1,9.5,2757,9.3,2514,0.906,3,3431,3857,47.1,2553,2821,47.5,8.2,91.7,99.9,50.3,49.7,1732,1899,47.7,1513,1036
Edmonton Oilers,30,0,0,26.2,82,25,45,12,62,0.378,191,260,2,9,-0.87,0.06,2.33,3.17,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,4,3622,3735,49.2,2733,2818,49.2,7.1,92.3,99.4,50.2,49.8,1853,1811,50.6,1744,917
Florida Panthers,28,0,0,28.3,82,30,40,12,72,0.439,191,222,4,7,-0.43,-0.01,2.33,2.71,35,267,13.11,41,267,84.64,4,5,8.7,9.1,2493,7.7,2609,0.915,7,3954,3328,54.3,2920,2560,53.3,6.3,92.6,99,50.6,49.4,1804,1685,51.7,2021,768
Los Angeles Kings*,12,0,0,26.3,82,46,30,6,98,0.598,209,196,10,2,0.29,0.03,2.55,2.39,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,9,3316,4167,44.3,2451,3023,44.8,6.8,92.4,99.2,44.1,55.9,1983,1825,52.1,1671,1144
Minnesota Wild,21,0,0,28.9,82,39,35,8,86,0.524,203,228,3,5,-0.3,0.03,2.48,2.78,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,5,3564,3848,48.1,2544,2767,47.9,8.3,91.5,99.8,48.3,51.7,1722,1893,47.6,1720,1081
Montreal Canadiens*,15,0,0,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,2.6,2.51,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8,3434,3935,46.6,2598,2920,47.1,9.1,92.4,101.5,45.8,54.2,1951,2048,48.8,1434,1015
Nashville Predators*,10,0,0,26.7,82,44,27,11,99,0.604,213,190,6,4,0.31,0.01,2.6,2.32,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9,2510,0.924,8,3183,3145,50.3,2426,2392,50.4,8.5,91,99.5,50.9,49.1,1664,1831,47.6,1580,753
New Jersey Devils,23,0,0,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,2.09,2.52,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9,3692,4050,47.7,2737,2879,48.7,7.2,90.3,97.5,49.5,50.5,1793,1913,48.4,1763,1171
New York Islanders,27,0,0,26.2,82,30,39,13,73,0.445,225,258,4,6,-0.42,0.01,2.74,3.15,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,2,3448,3750,47.9,2619,2650,49.7,8.9,92.5,101.4,47.6,52.4,1833,1829,50.1,2253,1100
New York Rangers*,18,0,0,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,2.73,2.38,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11,4030,3724,52,2954,2844,50.9,8.6,91.8,100.4,54.6,45.4,1920,1889,50.4,1852,880
Ottawa Senators,26,0,0,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,2.32,2.99,45,257,17.51,48,295,83.73,6,4,14,11.8,2381,8,2559,0.904,5,3823,3626,51.3,2813,2649,51.5,9.1,91.8,100.9,51.3,48.7,1755,1929,47.6,1904,977
Philadelphia Flyers*,3,0,0,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,3.12,2.63,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0,3917,3905,50.1,2929,3017,49.3,8.2,93,101.1,50,50,1828,1864,49.5,1930,888
Phoenix Coyotes*,11,0,0,29,82,43,26,13,99,0.604,226,220,5,6,0.11,0.05,2.76,2.68,46,289,15.92,64,296,78.38,5,6,10.5,10.1,2486,9.1,2673,0.918,9,4127,3436,54.6,3095,2561,54.7,9,90.6,99.7,54.9,45.1,1988,1913,51,1934,875
Pittsburgh Penguins*,4,0,0,27.4,82,49,25,8,106,0.646,228,196,10,3,0.43,-0.05,2.78,2.39,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,5,4194,3873,52,3125,2749,53.2,7,92.4,99.4,51,49,2072,1847,52.9,1496,1124
San Jose Sharks*,5,0,0,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,2.96,2.54,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,6,3865,3396,53.2,2937,2493,54.1,7.3,93.8,101.1,52.2,47.8,1859,1808,50.7,1818,903
St. Louis Blues,20,0,0,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,2.88,2.78,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10,3468,3874,47.2,2561,2817,47.6,10.2,89.7,99.9,46.4,53.6,1870,2001,48.3,1666,1057
Tampa Bay Lightning*,8,0,0,29,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,2.94,2.85,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7,3869,4039,48.9,2757,3006,47.8,8.9,90.6,99.5,50.1,49.9,1904,1862,50.6,2071,1033
Toronto Maple Leafs,22,0,0,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0,2.6,2.99,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9,2540,0.904,3,3927,3519,52.7,2860,2683,51.6,8.5,92.8,101.3,50.7,49.3,1995,1824,52.2,1701,836
Vancouver Canucks*,1,1,0,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,3.15,2.2,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5,3654,3887,48.5,2680,2807,48.8,8.9,91.8,100.7,47,53,1909,1909,50,1820,1080
Washington Capitals*,2,0,0,25.9,82,48,23,11,107,0.652,219,191,5,6,0.27,-0.06,2.67,2.33,46,263,17.49,43,299,85.62,7,5,11.3,10.6,2566,8.5,2375,0.92,8,3857,3784,50.5,2938,2807,51.1,8.2,91.2,99.4,50.7,49.3,1856,1935,49,1813,977
