,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks*,9,0,0,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,2.87,2.84,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7,3489,3672,48.7,2607,2735,48.8,8.4,91.3,99.7,49.7,50.3,1654,1851,47.2,1689,937
Atlanta Thrashers,25,0,0,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,2.66,3.2,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5,4186,3597,53.8,3084,2697,53.3,9.3,92.3,101.6,52.1,47.9,2119,1743,54.9,1640,900
Boston Bruins*,7,1,1,28.3,82,46,25,11,103,0.628,244,189,2,6,0.56,-0.07,2.98,2.3,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,11,3661,3820,48.9,2705,2918,48.1,8.2,92.2,100.4,51.1,48.9,1875,1929,49.3,1422,902
Buffalo Sabres*,14,0,0,27.5,82,43,29,10,96,0.585,240,228,5,1,0.15,-0.04,2.93,2.78,54,279,19.35,51,300,83,2,13,11.7,11.4,2690,8.9,2514,0.909,6,3498,3900,47.3,2562,2946,46.5,7.9,92.1,100,48.5,51.5,1797,2060,46.6,1503,954
Calgary Flames,17,0,0,30,82,41,29,12,94,0.573,241,230,9,7,0.14,-0.02,2.94,2.8,62,318,19.5,53,282,81.21,7,9,10.2,11.2,2501,9.6,2338,0.902,6,3854,4147,48.2,2828,3095,47.7,7.5,91.8,99.2,48.3,51.7,1972,1899,50.9,1632,1052
Carolina Hurricanes,19,0,0,26.6,82,40,31,11,91,0.555,231,234,5,5,-0.08,-0.04,2.82,2.85,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,4,3929,3497,52.9,2947,2628,52.9,8.7,90.9,99.6,54.2,45.8,1913,1892,50.3,1395,869
Chicago Blackhawks*,13,0,0,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,3.07,2.68,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,5,3979,3747,51.5,2924,2842,50.7,7.1,92,99,50.8,49.2,1953,1833,51.6,1766,905
Colorado Avalanche,29,0,0,25.9,82,30,44,8,68,0.415,221,287,6,1,-0.7,0.05,2.7,3.5,49,265,18.49,75,314,76.11,8,11,13.1,11.6,2394,9.2,2609,0.89,1,3320,3660,47.6,2529,2768,47.7,7.5,91.1,98.6,46,54,1927,1804,51.6,1885,892
Columbus Blue Jackets,24,0,0,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,2.56,3.05,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6,3788,3876,49.4,2808,2839,49.7,8.3,92,100.3,47.4,52.6,1854,1916,49.2,2081,1037
Dallas Stars,16,0,0,28,82,42,29,11,95,0.579,222,226,5,7,-0.02,0.05,2.71,2.76,55,306,17.97,55,277,80.14,10,15,13,13.8,2269,9.8,2504,0.91,5,3868,3196,54.8,2950,2443,54.7,8.7,92.4,101.1,56.7,43.3,1835,1748,51.2,1470,753
