Team,Wins,Losses,Win %,Division,Joined League,All GP,All W,All L,All T,All OTL,All Points,All PTS%,Cup Apps,Cup App Seasons,2017 - 2018 Rk,2017-2018 Overall,2017-2018 Shootout,2017-2018 Overtime,2017-2018 Home,2017-2018 Road,2017-2018 EAS,2017-2018 WES,2017-2018 ATL,2017-2018 MET,2017-2018 CEN,2017-2018 PAC,2017-2018 ≤1,2017-2018 ≥3,2017-2018 Oct,2017-2018 Nov,2017-2018 Dec,2017-2018 Jan,2017-2018 Feb,2017-2018 Mar,2017-2018 Apr,2018 - 2019 Rk,2018 - 2019 Overall,2018 - 2019 Shootout,2018 - 2019 Overtime,2018 - 2019 Home,2018 - 2019 Road,2018 - 2019 EAS,2018 - 2019 WES,2018 - 2019 ATL,2018 - 2019 MET,2018 - 2019 CEN,2018 - 2019 PAC,2018 - 2019 ≤1,2018 - 2019 ≥3,2018 - 2019 Oct,2018 - 2019 Nov,2018 - 2019 Dec,2018 - 2019 Jan,2018 - 2019 Feb,2018 - 2019 Mar,2018 - 2019 Apr
Ducks,1,1,0.5,West,1993,"2,055",973,804,107,171,"2,224",0.541,2,"2003, 2007",9,44-25-13,4-7,5-6,26-10-5,18-15-8,19-10-3,25-15-10,8-7-1,11-3-2,10-8-3,15-7-7,18-4-13,14-9-0,6-4-1,5-6-3,7-4-4,7-3-1,6-4-3,9-4-1,4-0-0,24,35-37-10,3-3,5-7,19-14-8,16-23-2,14-14-4,21-23-6,5-8-3,9-6-1,9-10-2,12-13-4,20-7-10,9-22-0,5-6-2,8-4-3,6-5-2,2-6-2,3-10-0,9-6-1,2-0-0
Flames,1,2,0.333,North,1972,"3,734","1,739","1,469",379,147,"4,004",0.536,3,"1986, 1989, 2004",20,37-35-10,2-5,7-5,17-20-4,20-15-6,14-13-5,23-22-5,6-7-3,8-6-2,11-8-2,12-14-3,21-7-10,13-20-0,6-6-0,8-4-1,5-6-3,6-1-4,7-7-1,4-9-1,1-2-0,2,50-25-7,0-4,5-3,26-10-5,24-15-2,21-7-4,29-18-3,8-5-3,13-2-1,13-7-1,16-11-2,16-8-7,22-6-0,7-5-1,8-4-1,9-3-2,9-1-1,8-3-2,8-7-0,1-2-0
Flyers,2,6,0.25,East,1967,"4,115","2,054","1,429",457,175,"4,740",0.576,8,"1974, 1975, 1976, 1980, 1985, 1987, 1997, 2010",13,42-26-14,2-7,9-7,22-13-6,20-13-8,28-15-9,14-11-5,14-7-3,14-8-6,6-5-3,8-6-2,19-9-14,10-12-0,6-5-1,2-5-6,8-4-1,8-4-0,10-1-2,5-6-4,3-1-0,22,37-37-8,3-1,6-7,19-18-4,18-19-4,22-26-4,15-11-4,12-10-2,10-16-2,7-7-0,8-4-4,18-8-8,15-22-0,5-7-0,5-5-2,5-6-3,7-5-1,8-3-2,7-8-0,0-3-0
GoldenKnights,0,1,0,West,2017,235,133,80,0,22,288,0.613,1,2018,5,51-24-7,4-3,8-4,29-10-2,22-14-5,18-11-3,33-13-4,10-4-2,8-7-1,13-7-1,20-6-3,22-9-7,21-11-0,8-3-0,7-5-1,11-1-1,7-3-2,8-5-1,9-5-2,1-2-0,16,43-32-7,3-2,4-5,24-12-5,19-20-2,15-13-4,28-19-3,6-7-3,9-6-1,10-11-0,18-8-3,17-9-7,17-16-0,5-6-1,9-6-0,9-3-3,6-4-0,5-7-1,8-4-2,1-2-0
Hurricanes,1,1,0.5,Central,1979,"3,176","1,325","1,422",263,166,"3,079",0.485,2,"2002, 2006",21,36-35-11,3-3,3-8,19-16-6,17-19-5,24-22-6,12-13-5,14-9-1,10-13-5,6-7-1,6-6-4,14-13-11,10-15-0,4-4-2,6-4-3,8-5-2,5-6-1,4-6-3,8-8-0,1-2-0,11,46-29-7,2-2,5-5,24-13-4,22-16-3,27-21-4,19-8-3,14-8-2,13-13-2,10-4-0,9-4-3,15-6-7,20-14-0,6-5-1,6-4-3,4-8-1,8-3-1,10-3-0,9-6-1,3-0-0
Islanders,4,1,0.8,East,1972,"3,732","1,656","1,570",347,159,"3,818",0.512,5,"1980, 1981, 1982, 1983, 1984",22,35-37-10,3-3,7-7,19-18-4,16-19-6,22-27-3,13-10-7,9-14-1,13-13-2,5-7-2,8-3-5,16-11-10,12-17-0,7-4-1,8-3-1,5-8-2,5-7-1,4-6-2,3-9-3,3-0-0,5,48-27-7,5-5,6-2,24-13-4,24-14-3,30-17-5,18-10-2,12-8-4,18-9-1,9-4-1,9-6-1,19-6-7,19-12-0,6-4-1,6-5-2,9-4-1,8-2-1,8-4-2,9-7-0,2-1-0
Jets,0,0,0,North,1999,"1,595",694,706,45,150,"1,583",0.496,0,0,2,52-20-10,4-2,5-8,32-7-2,20-13-8,19-7-6,33-13-4,10-3-3,9-4-3,15-9-2,18-4-2,22-4-10,23-11-0,6-3-2,9-3-2,8-5-2,7-2-2,7-4-1,11-3-1,4-0-0,10,47-30-5,2-1,7-4,25-12-4,22-18-1,18-12-2,29-18-3,7-7-2,11-5-0,13-12-1,16-6-2,19-7-5,18-15-0,7-4-1,7-4-1,11-4-0,8-4-0,4-6-2,8-7-0,2-1-1
Kings,2,1,0.667,West,1967,"4,116","1,733","1,801",424,158,"4,048",0.492,3,"1993, 2012, 2014",12,45-29-8,2-1,9-7,23-15-3,22-14-5,21-10-1,24-19-7,12-4-0,9-6-1,11-8-2,13-11-5,14-11-8,19-8-0,9-2-1,6-6-2,8-3-2,4-7-0,8-6-0,8-4-3,2-1-0,30,31-42-9,3-4,6-5,17-21-3,14-21-6,9-19-4,22-23-5,2-11-3,7-8-1,8-11-2,14-12-3,14-8-9,12-21-0,3-7-1,6-9-0,7-5-2,4-5-1,3-7-4,6-7-1,2-2-0
Lightning,2,1,0.667,Central,1992,"2,138",949,930,112,147,"2,157",0.504,3,"2004, 2015, 2020",3,54-23-5,6-2,6-3,29-10-2,25-13-3,33-14-5,21-9-0,18-8-2,15-6-3,11-3-0,10-6-0,23-6-5,20-11-0,10-2-1,7-4-1,11-2-0,6-5-1,9-4-1,9-5-0,2-1-1,1,62-16-4,6-1,7-3,32-7-2,30-9-2,44-8-0,18-8-4,23-5-0,21-3-0,7-4-3,11-4-1,24-3-4,30-8-0,8-2-1,10-5-0,13-0-1,6-4-0,12-1-2,10-3-0,3-1-0
MapleLeafs,13,8,0.619,North,1917,"6,730","2,965","2,815",783,167,"6,880",0.511,21,"1918, 1922, 1932, 1933, 1935, 1936, 1938, 1939, 1940, 1942, 1945, 1947, 1948, 1949, 1951, 1959, 1960, 1962, 1963, 1964, 1967",6,49-26-7,7-2,5-5,29-10-2,20-16-5,30-17-5,19-9-2,17-8-3,13-9-2,8-4-2,11-5-0,25-6-7,19-7-0,7-5-0,10-4-1,6-6-1,6-3-3,10-2-2,8-5-0,2-1-0,8,46-28-8,0-2,6-6,23-16-2,23-12-6,28-18-6,18-10-2,14-10-4,14-8-2,6-7-1,12-3-1,12-5-8,18-15-0,8-4-0,10-4-0,8-3-2,4-6-0,9-4-2,6-5-3,1-2-1
Oilers,5,2,0.714,North,1979,"3,179","1,434","1,318",262,165,"3,295",0.518,7,"1983, 1984, 1985, 1987, 1988, 1990, 2006",23,36-40-6,5-1,7-5,19-18-4,17-22-2,13-17-2,23-23-4,7-9-0,6-8-2,7-12-2,16-11-2,18-13-6,12-18-0,3-6-1,7-8-1,7-5-1,5-5-0,5-8-1,7-7-2,2-1-0,25,35-38-9,3-3,8-6,18-19-4,17-19-5,14-14-4,21-24-5,7-7-2,7-7-2,9-9-3,12-15-2,19-6-9,11-25-0,6-4-1,6-7-1,6-7-1,5-6-0,4-6-4,7-5-2,1-3-0
Panthers,0,1,0,Central,1993,"2,053",852,856,142,203,"2,049",0.499,1,1996,16,44-30-8,3-3,3-5,27-11-3,17-19-5,29-16-7,15-14-1,17-8-3,12-8-4,6-7-1,9-7-0,21-9-8,13-13-0,4-6-1,6-6-1,7-4-3,3-6-1,9-3-0,10-5-2,5-0-0,19,36-32-14,3-7,7-7,20-13-8,16-19-6,23-19-10,13-13-4,14-11-3,9-8-7,5-8-1,8-5-3,14-12-14,12-15-0,2-4-3,8-6-1,7-5-2,3-5-2,8-5-2,7-7-2,1-0-2
Penguins,5,1,0.833,East,1967,"4,115","1,866","1,718",383,148,"4,263",0.518,6,"1991, 1992, 2008, 2009, 2016, 2017",10,47-29-6,2-2,12-4,30-9-2,17-20-4,33-17-2,14-12-4,15-9-0,18-8-2,5-6-3,9-6-1,19-12-6,18-12-0,7-5-1,6-5-2,6-8-0,9-3-0,8-3-1,9-4-2,2-1-0,9,44-26-12,2-3,5-9,23-14-4,21-12-8,26-15-11,18-11-1,11-7-6,15-8-5,9-5-0,9-6-1,14-5-12,21-15-0,6-2-2,4-7-3,11-3-1,6-5-0,6-5-2,10-3-3,1-1-1
Predators,0,1,0,Central,1998,"1,675",821,633,60,161,"1,863",0.556,1,2017,1,53-18-11,6-7,5-4,28-9-4,25-9-7,18-9-5,35-9-6,8-5-3,10-4-2,18-5-3,17-4-3,24-4-11,16-8-0,5-4-2,10-3-1,8-3-2,6-2-2,10-2-2,11-3-2,3-1-0,7,47-29-6,4-2,5-4,25-14-2,22-15-4,20-8-4,27-21-2,11-3-2,9-5-2,14-11-1,13-10-1,19-10-6,19-11-0,9-3-0,8-5-1,6-7-1,7-3-2,7-6-1,7-5-1,3-0-0
Rangers,4,7,0.364,East,1926,"6,504","2,856","2,693",808,147,"6,667",0.513,11,"1928, 1929, 1932, 1933, 1937, 1940, 1950, 1972, 1979, 1994, 2014",24,34-39-9,3-5,7-4,21-16-4,13-23-5,20-25-7,14-14-2,10-11-3,10-14-4,2-10-2,12-4-0,16-10-9,9-18-0,4-7-2,9-3-0,7-3-3,5-7-0,3-10-1,6-6-3,0-3-0,26,32-36-14,6-5,3-9,18-14-9,14-22-5,21-22-9,11-14-5,11-10-3,10-12-6,6-7-1,5-7-4,18-10-14,7-18-0,4-7-1,9-4-1,4-3-5,5-7-0,5-5-3,4-8-3,1-2-1
RedWings,11,13,0.458,Central,1926,"6,505","2,970","2,547",815,173,"6,928",0.533,24,"1934, 1936, 1937, 1941, 1942, 1943, 1945, 1948, 1949, 1950, 1952, 1954, 1955, 1956, 1961, 1963, 1964, 1966, 1995, 1997, 1998, 2002, 2008, 2009",27,30-39-13,5-1,3-12,16-16-9,14-23-4,18-22-12,12-17-1,8-16-4,10-6-8,4-9-1,8-8-0,10-14-13,11-16-0,6-6-1,4-5-4,5-5-2,5-5-1,6-6-2,4-11-1,0-1-2,28,32-40-10,3-5,9-5,17-19-5,15-21-5,20-25-7,12-15-3,9-15-4,11-10-3,5-7-2,7-8-1,20-13-10,6-11-0,3-7-2,8-4-1,4-8-4,4-6-0,4-7-2,8-6-1,1-2-0
Sabres,0,2,0,East,1970,"3,889","1,790","1,530",409,160,"4,149",0.533,2,"1975, 1999",31,25-45-12,1-2,5-10,11-25-5,14-20-7,16-29-7,9-16-5,11-14-3,5-15-4,3-9-2,6-7-3,11-11-12,4-23-0,3-7-2,3-8-2,4-5-4,4-7-1,6-6-2,5-8-1,0-4-0,27,33-39-10,5-3,7-7,21-15-5,12-24-5,19-25-8,14-14-2,11-12-5,8-13-3,4-9-1,10-5-1,17-9-10,9-19-0,6-4-2,11-3-1,4-6-3,4-6-0,4-7-2,2-12-2,2-1-0
Senators,0,1,0,North,1992,"2,139",948,912,115,164,"2,175",0.508,1,2007,30,28-43-11,2-7,8-4,16-19-6,12-24-5,17-28-7,11-15-4,10-14-4,7-14-3,5-8-1,6-7-3,17-15-11,7-23-0,5-2-5,3-7-1,4-8-2,3-7-1,6-7-1,6-9-1,1-3-0,31,29-47-6,0-1,6-5,18-19-4,11-28-2,17-32-3,12-15-3,10-16-2,7-16-1,6-7-1,6-8-2,9-11-6,13-26-0,4-5-2,7-7-1,4-9-1,4-5-1,3-11-0,6-7-1,1-3-0
Sharks,0,1,0,West,1991,"2,218","1,049",892,121,156,"2,375",0.535,1,2016,11,45-27-10,5-3,5-7,25-13-3,20-14-7,16-13-3,29-14-7,8-5-3,8-8-0,8-9-4,21-5-3,18-4-10,17-9-0,6-5-0,7-3-2,7-4-2,6-4-4,8-5-1,10-4-1,1-2-0,6,46-27-9,0-3,8-6,25-11-5,21-16-4,14-13-5,32-14-4,6-8-2,8-5-3,15-6-0,17-8-4,18-5-9,22-14-0,6-3-3,6-6-2,9-4-2,8-3-0,8-3-1,7-7-1,2-1-0
Stars,1,4,0.2,Central,1967,"4,115","1,819","1,689",459,148,"4,245",0.516,5,"1981, 1991, 1999, 2000, 2020",19,42-32-8,4-3,5-5,26-12-3,16-20-5,15-9-8,27-23-0,7-4-5,8-5-3,12-14-0,15-9-0,16-5-8,14-16-0,7-5-0,7-5-1,8-5-2,6-4-1,8-4-0,4-8-4,2-1-0,15,43-32-7,1-2,6-5,24-14-3,19-18-4,15-15-2,28-17-5,9-5-2,6-10-0,14-10-2,14-7-3,17-10-7,15-13-0,6-5-0,7-5-3,7-6-1,5-5-0,7-6-1,9-4-2,2-1-0
Wild,0,0,0,West,2000,"1,511",724,583,55,149,"1,652",0.547,0,0,8,45-26-11,3-3,4-8,27-6-8,18-20-3,20-8-4,25-18-7,10-5-1,10-3-3,13-12-1,12-6-6,12-4-11,20-14-0,4-4-2,8-6-1,8-6-0,7-2-2,9-2-2,7-5-3,2-1-1,21,37-36-9,1-4,3-5,16-18-7,21-18-2,14-14-4,23-22-5,9-6-1,5-8-3,12-10-4,11-12-1,18-9-9,11-20-0,7-3-2,7-6-0,4-8-1,8-4-0,5-6-3,5-7-3,1-2-0
