,1,2,3,4,Players Sent,Players Received,Year,Month,Day
305, Tigers, • Edmond Bouchard, • Joe Malone,Canadiens,1,1,1922,12,22
308, Tigers, • cash, • Harry Mummery,Saskatoon(WCHL),1,1,1923,02,08
310, Calgary (WCHL), • cash, • Jack Arbour• Alvin Fisher,Seattle(PCHA),2,1,1923,08,21
311, Seattle (PCHA), • Jack Arbour• Alvin Fisher, • cash,Calgary(WCHL),1,2,1923,08,21
314, St. Patricks, • Wilf Loughlin, • cash,Victoria(PCHA),1,1,1923,10,24
315, Canadiens, • cash, • Louis Berlinquette,Saskatoon(WCHL),1,1,1923,11,01
318, Tigers, • cash, • Cully Wilson,Calgary(WCHL),1,1,1923,11,22
321, Bulldogs, • Ken Randall• rights to Corbett Denneny• cash, • Amos Arbour• Bert Corbeau• George Carey,StPatricks,3,3,1923,12,14
322, St. Patricks, • Amos Arbour• Bert Corbeau• George Carey, • Ken Randall• rights to Corbett Denneny• cash,Hamilton,3,3,1923,12,14
324, Senators, • Leth Graham, • cash,Tigers,1,1,1923,12,18
325, Tigers, • cash, • Leth Graham,Senators,1,1,1923,12,18
330, Tigers, • cash, • Leo Reise Sr.,Saskatoon(WCHL),1,1,1923,12,29
333, St. Patricks, • cash, • Ganton Scott,Tigers,1,1,1924,01,16
334, Tigers, • Ganton Scott, • cash,StPatricks,1,1,1924,01,16
339, Canadiens, • cash, • Billy Cameron,Vancouver(WCHL),1,1,1924,03,26
340, Canadiens, • Charlie Cotch, • Bobby Boucher,Vancouver(PCHA),1,1,1924,03,26
346, Maroons, • Clint Benedict• Harry Broadbent / Punch Broadbent, • cash,Senators,1,2,1924,10,20
348, Senators, • cash, • Clint Benedict• Harry Broadbent / Punch Broadbent,Maroons,2,1,1924,10,20
351, Bruins, • Hec Fowler, • cash,Victoria(PCHA),1,1,1924,10,29
359, Bruins, • Alf Skinner, • cash,Vancouver(PCHL),1,1,1924,11,02
360, Bruins, • Bobby Rowe, • cash,Seattle(WCHL),1,1,1924,11,02
362, Bruins, • Fern Headley, • cash,Saskatoon(WCHL),1,1,1924,11,02
365, Bruins, • Thomas Harris / Smokey Harris, • cash,Seattle(PCHA),1,1,1924,11,02
368, Edmonton (WCHL), • cash, • Ty Arbour,Vancouver(WCHL),1,1,1924,11,10
369, Vancouver (WCHL), • Ty Arbour, • cash,Edmonton(WCHL),1,1,1924,11,10
374, Bruins, • Lloyd Cook, • cash,Vancouver(WCHL),1,1,1924,11,18
378, Canadiens, • Johnny Matz, • cash,Saskatoon(WCHL),1,1,1924,11,25
379, Maroons, • Louis Berlinquette, • cash,Saskatoon(WCHL),1,1,1924,11,26
380, Bruins, • loan of Emory Sparrow, • cash,Calgary(WCHL),1,1,1924,12,08
382, Bruins, • Ernie Parkes, • cash,StPatricks,1,1,1924,12,08
383, St. Patricks, • cash, • Ernie Parkes,Bruins,1,1,1924,12,08
384, Blueshirts," • $8,000 cash", • Reg Noble,Maroons,1,1,1924,12,09
385, Maroons, • Reg Noble," • $8,000 cash",Blueshirts,1,1,1924,12,09
387, Bruins, • Billy Stuart / Red Stuart, • cash,St.Patricks,1,1,1924,12,14
388, St. Patricks, • cash, • Billy Stuart / Red Stuart,Bruins,1,1,1924,12,14
391, Bruins, • George Carroll, • rights to Ernie Parkes,Maroons,1,1,1924,12,19
392, Maroons, • rights to Ernie Parkes, • George Carroll,Bruins,1,1,1924,12,19
393, Bruins, • cash, • Thomas Harris / Smokey Harris,Vancouver(WCHL),1,1,1924,12,21
394, Bruins, • Howard Lockhart, • cash,St.Patricks,1,1,1924,12,24
395, Canadiens, • cash, • rights to Charlie Cotch,Tigers,1,1,1924,12,24
396, St. Patricks, • cash, • Howard Lockhart,Bruins,1,1,1924,12,24
397, Tigers, • rights to Charlie Cotch, • cash,Canadiens,1,1,1924,12,24
400, Bruins, • Bernie Morris• Bobby Benson, • Alf Skinner,Maroons,1,2,1925,01,03
401, Maroons, • Alf Skinner, • Bernie Morris• Bobby Benson,Bruins,2,1,1925,01,03
402, Maroons, • Bernie Morris, • cash,"rlane,October7,1923.TradedtoMtl.Maroonsby",1,1,1925,01,03
406, Bruins, • Lionel Hitchman, • cash,Senators,1,1,1925,01,10
407, Senators, • cash, • Lionel Hitchman,Bruins,1,1,1925,01,10
426, Americans, • John Morrison• Joe Simpson• Roy Rickey," • $10,000 cash",Edmonton(WHL),1,3,1925,09,18
444, Americans, • Bill Holmes, • cash,Edmonton(WCHL),1,1,1925,10,02
447, Maroons, • cash, • Gerry Munro,StPatricks,1,1,1925,10,23
448, St. Patricks, • Gerry Munro, • cash,Maroons,1,1,1925,10,23
449, Bruins, • cash, • Fern Headley,Vancouver(WHL),1,1,1925,10,29
454, Bruins, • Sprague Cleghorn, • $5K cash,Canadiens,1,1,1925,11,08
455, Canadiens," • $5,000 cash", • Sprague Cleghorn,Bruins,1,1,1925,11,08
471, Americans, • future considerations (Joe Miller (a) on 1926-02-23), • loan of Jesse Spring for 1925-26 season,Pirates,1,1,1925,11,25
472, Pirates, • loan of Jesse Spring for 1925-26 season, • future considerations (Joe Miller (a) on 1926-02-23),Americans,1,1,1925,11,25
486, Bruins, • rights to Percy Galbraith• rights to Bill Hill, • cash,St.Paul(AHA),1,2,1926,01,03
494, Bruins, • cash, • Norm Shay / Normie Shay,StPatricks,1,1,1926,01,14
495, St. Patricks, • Norm Shay / Normie Shay, • cash,Bruins,1,1,1926,01,14
500, Americans, • rights to Joe Miller (a), • rights to Odie Cleghorn• loan of Jesse Spring,Pirates,2,1,1926,01,23
501, Pirates, • rights to Odie Cleghorn• loan of Jesse Spring, • rights to Joe Miller (a),Americans,1,2,1926,01,23
509, Blackhawks, • Art Duncan, • cash,Calgary(WHL),1,1,1926,05,15
527, Senators, • Jack Adams (a), • cash,StPatricks(dateapproximate),1,1,1926,08,01
528, St. Patricks, • cash, • Jack Adams (a),Senators(dateapproximate),1,1,1926,08,01
530, Bruins, • Eddie Shore, • cash,Edmonton(WHL),1,1,1926,08,20
533, Canadiens, • George Hainsworth, • cash,Saskatoon(WHL),1,1,1926,08,23
534, Bruins, • Archie Briden, • cash,Calgary(WHL),1,1,1926,08,30
540, Bruins, • Amby Moran, • cash,Vancouver(WHL),1,1,1926,09,04
541, Bruins, • Duke Keats, • cash,Edmonton(WHL),1,1,1926,09,04
542, Bruins, • Harry Oliver, • cash,Calgary(WHL),1,1,1926,09,04
544, Maroons, • Red Dutton, • cash,Calgary(WHL),1,1,1926,09,11
545, Americans, • rights to Newsy Lalonde, • cash,Saskatoon(WHL),1,1,1926,09,27
546, St. Patricks, • Corbett Denneny• Leo Bourgeault• Laurie Scott, • cash,Saskatoon(PrHL),1,3,1926,09,27
547, Rangers, • rights to Frank Boucher," • $15,000 cash",Vancouver(WHL),1,1,1926,09,28
552, Blackhawks, • Mickey MacKay, • cash,Vancouver(WHL),1,1,1926,10,04
554, Cougars, • Art Gagne, • cash,Edmonton(WHL),1,1,1926,10,05
555, Cougars, • Herb Stuart, • cash,Edmonton(WHL),1,1,1926,10,05
556, Red Wings, • Emory Sparrow, • cash,Edmonton(WHL),1,1,1926,10,05
558, Pirates, • Ty Arbour, • cash,Vancouver(WHL),1,1,1926,10,09
559, Rangers, • Reg Mackey, • cash,VancouverMaroons(WHL),1,1,1926,10,09
560, Vancouver (WHL), • cash, • Ty Arbour,Penguins,1,1,1926,10,09
566, Blackhawks, • Art Gagne• Gord Fraser, • rights to Art Duncan,Cougars,1,2,1926,10,18
567, Blackhawks, • Babe Dye," • $15,000 cash",StPatricks,1,1,1926,10,18
568, Blackhawks, • cash, • Art Gagne,Canadiens,1,1,1926,10,18
569, Canadiens, • Art Gagne, • cash,Blackhawks,1,1,1926,10,18
570, Cougars, • rights to Art Duncan, • Art Gagne• Gord Fraser,Blackhawks,2,1,1926,10,18
571, Rangers, • Bill Cook, • cash,SaskatoonCrescents(WHL),1,1,1926,10,18
572, Rangers, • Fred Cook / Bun Cook, • cash,SaskatoonCrescents(WHL),1,1,1926,10,18
575, St. Patricks," • $15,000 cash", • Babe Dye,Blackhawks,1,1,1926,10,18
576, Rangers, • rights to Leroy Goldsworthy, • cash,EdmontonEskimos(WHL),1,1,1926,10,19
577, Canadiens, • rights to Herb Gardiner, • cash,Calgary(WHL),1,1,1926,10,20
578, Bruins, • Billy Coutu, • Amby Moran,Canadiens,1,1,1926,10,22
579, Canadiens, • Amby Moran, • Billy Coutu,Bruins,1,1,1926,10,22
581, Blackhawks, • Cully Wilson, • cash,Calgary(WCHL),1,1,1926,10,25
582, Rangers, • rights to Ollie Reinikka, • cash,VancouverMaroons(WCHL),1,1,1926,10,25
583, Calgary (WCHL), • cash, • Jack Arbour,RedWings,1,1,1926,10,27
584, Cougars, • Fred Gordon, • cash,Saskatoon(WHL),1,1,1926,10,27
586, Rangers, • rights to Hal Winkler, • cash,CalgaryTigers(WHL),1,1,1926,10,27
587, Red Wings, • Jack Arbour, • cash,Calgary(WCHL),1,1,1926,10,27
590, Canadiens, • cash, • John McKinnon / Johnny McKinnon,Pirates,1,1,1926,10,28
592, Pirates, • John McKinnon / Johnny McKinnon, • cash,Canadiens,1,1,1926,10,28
599, Bruins, • cash, • Gerry Geran,St.Paul(AHA),1,1,1926,11,04
603, Canadiens, • Leo Lafrance, • cash,DuluthHornets(AHA),1,1,1926,11,10
608, St. Patricks, • cash, • loan Albert Pudas / Al Pudas,Windsor,1,1,1926,11,10
611, Americans, • Laurie Scott, • Jesse Spring,StPatricks,1,1,1926,11,15
612, Rangers, • cash, • loan of Phil Stevens / Phil Stephens,Springfield(Can-Am),1,1,1926,11,15
613, St. Patricks, • Jesse Spring, • Laurie Scott,Americans,1,1,1926,11,15
614, Blackhawks, • Gord McFarlane, • cash,Calgary(WHL),1,1,1926,11,16
618, Americans, • Leo Reise Sr., • cash,NiagaraFalls(Can-Pro),1,1,1926,11,22
620, Cougars, • cash, • loan of Harold Hart / Gizzy Hart,Windsor(Can-Pro),1,1,1926,11,24
622, Canadiens, • Harold Hart / Gizzy Hart, • cash,Cougars,1,1,1926,12,12
623, Cougars, • cash, • Harold Hart / Gizzy Hart,Canadiens,1,1,1926,12,12
624, Americans, • Lionel Conacher, • Charlie Langlois• $2K cash,Pirates,2,1,1926,12,16
625, Blackhawks, • cash, • loan of Art Townsend,Springfield(Can-Am),1,1,1926,12,16
626, Pirates, • Charlie Langlois• $2K cash, • Lionel Conacher,Americans,1,2,1926,12,16
629, Canadiens, • cash, • Amby Moran,Boston(Can-Am),1,1,1926,12,23
631, Americans, • loan of Tex White for remainder of 1928-29 season, • Jesse Spring• loan of Edmond Bouchard for remainder of 1928-29 season,Pirates(dateapproximate),2,1,1927,01,01
632, Blackhawks, • Eddie Rodden, • cash,Minneapolis(AHA),1,1,1927,01,01
633, Maroons, • cash, • Albert Holway / Toots Holway,Stratford(Can-Pro)withMaroonsholdingrightofrecall(dateapproximate),1,1,1927,01,01
634, Pirates, • Jesse Spring• loan of Edmond Bouchard for remainder of 1928-29 season, • loan of Tex White for remainder of 1928-29 season,Americans(dateapproximate),1,2,1927,01,01
635, Cougars," • $9,500 cash", • Russell Oatman / Russ Oatman,Maroons,1,1,1927,01,06
636, Maroons, • Russell Oatman / Russ Oatman," • $9,500 cash",Cougars,1,1,1927,01,06
637, Bruins, • Harry Meeking• Frank Fredrickson, • Archie Briden• Duke Keats,Cougars,2,2,1927,01,07
638, Cougars, • Archie Briden• Duke Keats, • Harry Meeking• Frank Fredrickson,Bruins,2,2,1927,01,07
639, Cougars, • Pete Bellefeuille, • Harold Halderson / Slim Halderson,StPatricks,1,1,1927,01,07
640, St. Patricks, • Harold Halderson / Slim Halderson, • Pete Bellefeuille,Cougars,1,1,1927,01,07
641, Bruins, • Billy Boucher, • Carson Cooper,Canadiens,1,1,1927,01,17
642, Bruins, • rights to Hal Winkler," • $5,000 cash",Rangers,1,1,1927,01,17
643, Canadiens, • Carson Cooper, • Billy Boucher,Bruins,1,1,1927,01,17
644, Rangers," • $5,000 cash", • rights to Hal Winkler,Bruins,1,1,1927,01,17
646, Bruins, • cash, • Stan Jackson,Senators,1,1,1927,01,18
647, Senators, • Stan Jackson, • cash,Bruins,1,1,1927,01,18
649, Rangers, • rights to Leo Bourgeault, • cash,StPatricks,1,1,1927,01,24
650, St. Patricks, • cash, • rights to Leo Bourgeault,Rangers,1,1,1927,01,24
652, Cougars, • cash, • Hobart Kitchen (Hobie Kitchen),NewHaven(Can-Am),1,1,1927,01,28
653, Blackhawks, • cash, • Jim Riley,Cougars,1,1,1927,01,31
654, Bruins, • cash, • Charles Cahill,NewHaven(Can-Am),1,1,1927,01,31
655, Bruins, • Reg McLlwain, • Charles Larose,NewHaven(Can-Am),1,1,1927,01,31
656, Cougars, • Jim Riley, • cash,Blackhawks,1,1,1927,01,31
657, Americans, • Bob Connors, • cash,NiagaraFalls(Can-Pro),1,1,1927,02,01
660, Senators, • cash, • Stan Jackson,London(Can-Pro)(dateapproximate),1,1,1927,02,01
