,1,2,3,4,Players Sent,Players Received,Year,Month,Day
3755, Red Wings, • Warren Godfrey, • Gerry Odrowski,Bruins,1,1,1963,10,10
3759, Bruins, • Cliff Pennington, • Gerry Odrowski• future considerations (loan of Dallas Smith for the 1964-65 season on 1964-07-08),SanFrancisco(WHL),2,1,1963,12,17
3760, Red Wings, • Barrie Ross, • Billy McNeil,Vancouver(WHL),1,1,1964,01,01
3761, Red Wings, • Barrie Ross• future considerations (?), • Billy McNeill,Vancouver(WHL),1,2,1964,01,01
3763, Blackhawks, • cash• future considerations (rights to Wayne Smith on July 1964) with Chicago retaining NHL rights, • Howie Young,LosAngeles(WHL),1,2,1964,02,11
3764, Rangers, • Ron Ingram, • Albert Langlois / Al Langlois / Junior Langlois,RedWings,1,1,1964,02,14
3765, Red Wings, • Albert Langlois / Al Langlois / Junior Langlois, • Ron Ingram,Rangers,1,1,1964,02,14
3766, Maple Leafs, • Andy Bathgate (a)• Don McKenney, • Dick Duff• Bob Nevin• Arnie Brown• Bill Collins• Rod Seiling,Rangers,5,2,1964,02,22
3767, Rangers, • Dick Duff• Bob Nevin• Arnie Brown• Bill Collins• Rod Seiling, • Andy Bathgate (a)• Don McKenney,MapleLeafs,2,5,1964,02,22
3769, Rangers, • cash, • loan of Duane Rupp,MapleLeafs(Rochester-AHL),1,1,1964,02,23
3770, Canadiens, • Howie Glover, • Ray Brunel• Bev Bell,Rangers,2,1,1964,04,19
3771, Rangers, • Ray Brunel• Bev Bell, • Howie Glover,Canadiens,1,2,1964,04,19
3772, Canadiens, • cash, • Howie Glover,Cleveland(AHL),1,1,1964,04,19
3773, Bruins, • cash, • Larry Leach,Portland(AHL)(dateapproximate),1,1,1964,05,01
3777, Bruins, • cash, • Andy Hebenton,Portland(WHL),1,1,1964,06,05
3778, Bruins, • cash, • Wayne Connelly,SanFrancisco(WHL),1,1,1964,06,06
3779, Blackhawks, • Doug Mohns, • Ab McDonald• Reggie Fleming / Reg Fleming,Bruins,2,1,1964,06,08
3780, Bruins, • Ab McDonald• Reggie Fleming / Reg Fleming, • Doug Mohns,Blackhawks,1,2,1964,06,08
3784, Blackhawks, • Art Stratton• Ian Cushenan• John Miszuk, • Ron Murphy• Autry Erickson / Aut Erickson,RedWings,2,3,1964,06,09
3785, Blackhawks, • Jerry Toppazzini• Matt Ravlich, • Murray Balfour• Mike Draper,Bruins,2,2,1964,06,09
3786, Bruins, • Murray Balfour• Mike Draper, • Jerry Toppazzini• Matt Ravlich,Blackhawks,2,2,1964,06,09
3794, Red Wings, • Ron Murphy• Autry Erickson / Aut Erickson, • Art Stratton• Ian Cushenan• John Miszuk,Blackhawks,3,2,1964,06,09
3839, Maple Leafs, • Duane Rupp• Ed Ehrenverth, • Lou Angotti• Ed Lawson,Rangers,2,2,1964,06,25
3840, Rangers, • Lou Angotti• Ed Lawson, • Duane Rupp• Ed Ehrenverth,MapleLeafs,2,2,1964,06,25
3841, Bruins, • Guy Allen• Paul Reid, • Alex Campbell• rights to Ken Dryden,Canadiens,2,2,1964,06,28
3842, Canadiens, • Alex Campbell• rights to Ken Dryden, • Guy Allen• Paul Reid,Bruins,2,2,1964,06,28
3844, Blackhawks, • rights to Wayne Smith, ,receivedfromLosAngeles(WHL)tocompleteearliertradeinvolvingHowieYoung,0,1,1964,07,01
3851, Blackhawks, • Ed Chadwick, • cash,RedWings(dateapproximate),1,1,1964,08,01
3852, Bruins, • cash, • Orval Tessier,Canadiens,1,1,1964,08,01
3853, Bruins, • cash, • Tom McCarthy (b),MapleLeafs(dateapproximate),1,1,1964,08,01
3854, Canadiens, • Orval Tessier, • cash,Bruins,1,1,1964,08,01
3855, Maple Leafs, • Fred Hucul, • cash,Calgary(WHL)(dateapproximate),1,1,1964,08,01
3856, Maple Leafs, • Tom McCarthy (b), • cash,Bruins(dateapproximate),1,1,1964,08,01
3857, Red Wings, • cash, • Barclay Plager,Springfield(AHL)(dateapproximate),1,1,1964,08,01
3858, Red Wings, • cash, • Ed Chadwick,Blackhawks(dateapproximate),1,1,1964,08,01
3859, Blackhawks, • cash, • Bob Turner,LosAngeles(WHL),1,1,1964,08,06
3860, Blackhawks, • cash, • Lloyd Haddon,LABlades(WHL),1,1,1964,08,12
3861, Blackhawks, • cash, • Ed Kachur,L.A.Blades(WHL),1,1,1964,08,30
3863, Maple Leafs, , • Bruce Draper,"senttoHershey(AHL)asfutureconsiderationsinearlertradeinvolvingLesDuff,GeneUbriaco",1,0,1964,09,01
3866, Canadiens, • cash, • Chuck Hamilton,Hershey(AHL)(dateapproximate),1,1,1964,10,01
3869, Blackhawks, • Hank Ciesla, • Jerry Toppazzini,RedWings,1,1,1964,10,10
3870, Red Wings, • Jerry Toppazzini, • Hank Ciesla,Blackhawks,1,1,1964,10,10
3871, Blackhawks, • cash, • Ted Lindsay,RedWings,1,1,1964,10,14
3872, Red Wings, • Ted Lindsay, • cash,Blackhawks,1,1,1964,10,14
3874, Red Wings, • Ab McDonald• Bob McCord• Ken Stephanson, • Parker MacDonald• Ron Harris• Albert Langlois / Al Langlois / Junior Langlois• Bob Dillabough,Bruins,4,3,1965,05,31
3875, Canadiens, • Larry Zeidel, • cash,Seattle(WHL)(dateapproximate),1,1,1965,06,01
3877, Blackhawks, • Dick Meissner• Mel Pearson• Tracy Pratt• Dave Richardson, • John McKenzie / Johnny McKenzie• Ray Cullen,Rangers,2,4,1965,06,04
3878, Rangers, • John McKenzie / Johnny McKenzie• Ray Cullen, • Dick Meissner• Mel Pearson• Tracy Pratt• Dave Richardson,Blackhawks,4,2,1965,06,04
3880, Blackhawks, • Bryan Watson / Bugsy Watson, • Don Johns,Canadiens,1,1,1965,06,08
3885, Bruins, • Ron Stewart, • Andy Hebenton• Orland Kurtenbach• Pat Stapleton,MapleLeafs,3,1,1965,06,08
3886, Canadiens, • cash, • Larry Zeidel,Cleveland(AHL),1,1,1965,06,08
3887, Canadiens, • Don Johns, • Bryan Watson / Bugsy Watson,Blackhawks,1,1,1965,06,08
3888, Canadiens, • Gord Labossiere / Gord Labossierre• Earl Ingarfield Sr.• Noel Price• Dave McComb• cash, • Garry Peters• Cesare Maniago,Rangers,2,5,1965,06,08
3891, Maple Leafs, • Andy Hebenton• Orland Kurtenbach• Pat Stapleton, • Ron Stewart,Bruins,1,3,1965,06,08
3893, Rangers, • Cesare Maniago• Garry Peters, • Gord Labossiere / Gord Labossierre• Earl Ingarfield Sr.• Noel Price• Dave McComb• cash,Canadiens,5,2,1965,06,08
3912, Rangers, • Dunc McCallum, • Bob Cunningham,RedWings,1,1,1965,06,08
3913, Red Wings, • Bob Cunningham, • Dunc McCallum,Rangers,1,1,1965,06,08
3941, Canadiens, • cash, • Len Ronson,Portland(WHL)(dateapproximate),1,1,1965,07,01
3948, Red Wings, • cash, • Chuck Holmes,Portland(WHL)(dateapproximate),1,1,1965,07,01
3949, Maple Leafs, • Bruce Gamble, • Larry Johnston• Bill Smith,Springfield(AHL)(dateapproximate),2,1,1965,09,01
3954, Canadiens, • Len Haley, • Gerry Brisson,SanFrancisco(WHL),1,1,1965,10,22
3955, Rangers, • Gord Vejprava / Gordie Vejprava, • Buddy Boone,LosAngeles(WHL),1,1,1965,11,01
3956, Blackhawks, • Pat Hannigan," • $15,000 cash",RedWings,1,1,1965,11,15
3957, Red Wings," • $15,000 cash", • Pat Hannigan,Blackhawks,1,1,1965,11,15
3958, Bruins, • Pit Martin, • Parker MacDonald,RedWings,1,1,1965,12,30
3959, Red Wings, • Parker MacDonald, • Pit Martin,Bruins,1,1,1965,12,30
3960, Blackhawks, • rights to Lou Angotti, • cash• other considerations (Blackhawks allow Rangers to assign Larry Mickey to CHL without offering him to Blackhawks first),Rangers,2,1,1966,01,07
3961, Rangers, • cash• other considerations (Blackhawks allow Rangers to assign Larry Mickey to CHL without offering him to Blackhawks first), • rights to Lou Angotti,Blackhawks,1,2,1966,01,07
3962, Bruins, • John McKenzie / Johnny McKenzie, • Reggie Fleming / Reg Fleming,Rangers,1,1,1966,01,10
3963, Rangers, • Reggie Fleming / Reg Fleming, • John McKenzie / Johnny McKenzie,Bruins,1,1,1966,01,10
3965, Rangers, • Bob Blackburn, • Wayne Muloin• Ron Hutchinson,Providence(AHL),2,1,1966,02,03
3967, Bruins, • Bill Lesuk• Ron Murphy• Gary Doak• Rick Smith, • Leo Boivin• Dean Prentice,RedWings(perRedWingsmediaguide),2,4,1966,02,17
3968, Bruins, • Ron Murphy• Gary Doak• amateur player to be named later (Bill Lesuk)• 1966 first round pick (#6-Steve Atkinson), • Leo Boivin• Dean Prentice,RedWings(perPrenticeLOH),2,4,1966,02,17
3969, Red Wings, • Leo Boivin• Dean Prentice, • Bill Lesuk• Ron Murphy• Gary Doak• Rick Smith,Bruins(perRedWingsmediaguide),4,2,1966,02,17
3970, Red Wings, • Leo Boivin• Dean Prentice, • Ron Murphy• Gary Doak• amateur player to be named later (Bill Lesuk)• 1966 first round pick (#6-Steve Atkinson),Bruins(perPrenticeLOH),4,2,1966,02,17
3971, Bruins, • Ron Murphy, • Dean Prentice,RedWings,1,1,1966,02,18
3972, Red Wings, • Dean Prentice, • Ron Murphy,Bruins,1,1,1966,02,18
3975, Red Wings, • Terry Gray, • Claude Laforge,Quebec(AHL),1,1,1966,03,01
4010, Red Wings, , • Steve Atkinson,"senttoBruinstocompleteearliertradeinvolvingLeoBoivin,DeanPrentice,BillLesuk,RonMurphy,GaryDoak",1,0,1966,06,06
4011, Bruins, • Steve Atkinson, ,"receivedfromRedWingstocompleteearliertradeinvolvingLeoBoivin,DeanPrentice,BillLesuk,RonMurphy,GaryDoak",0,1,1966,06,06
4020, Canadiens, • Ted Taylor• Garry Peters, • Gordon Berenson / Red Berenson,Rangers,1,2,1966,06,13
4022, Rangers, • Gordon Berenson / Red Berenson, • Ted Taylor• Garry Peters,Canadiens,2,1,1966,06,13
4023, Bruins, • Wayne Connelly, • cash,SanFrancisco(WHL),1,1,1966,06,14
4061, Red Wings," • $20,000 cash", • Len Haley• Ed Ehrenverth• Al Nicholson,SanDiego(WHL),3,1,1966,06,20
4063, Penguins, • Bill Speer, • cash,Cleveland(AHL),1,1,1966,08,11
4064, Penguins, • Dick Mattiussi, • cash,Cleveland(AHL),1,1,1966,08,11
4065, Penguins, • Ted Lanyon, • cash,Cleveland(AHL),1,1,1966,08,11
4070, Penguins, • cash, • loan of Dick Mattiussi for 1966-67 season,Cleveland(AHL),1,1,1966,10,01
4071, Rangers, • Gerry Brisson, • minor league rights to Bob Kabel,California(WHL),1,1,1966,10,01
4072, Red Wings, • cash, • Bob Champoux,SanDiego(WHL)(dateapproximate),1,1,1966,10,01
4077, Blackhawks," • loan of Murray Hall and Al Lebrun for remainder of 1966-67 season• future considerations (Murray Hall, Al LeBrun, Rick Morris on 1967-06)", • Howie Young,RedWings,1,2,1966,12,20
4078, Red Wings, • Howie Young," • loan of Murray Hall and Al Lebrun for remainder of 1966-67 season• future considerations (Murray Hall, Al LeBrun, Rick Morris on 1967-06)",Blackhawks,2,1,1966,12,20
4079, , , • Doug Harvey,playerexercisedcontractclausethatallowedhimtobecomeafreeagentiftradedbyBaltimore(AHL),1,0,1967,01,06
4121, Blackhawks, • Pit Martin• Gilles Marotte• Jack Norris, • Phil Esposito• Fred Stanfield• Ken Hodge Sr.,Bruins,3,3,1967,05,15
4122, Bruins, • Eddie Shack, • Murray Oliver• cash,MapleLeafs,2,1,1967,05,15
4123, Bruins, • Phil Esposito• Fred Stanfield• Ken Hodge Sr., • Pit Martin• Gilles Marotte• Jack Norris,Blackhawks,3,3,1967,05,15
4124, Maple Leafs, • Murray Oliver• cash, • Eddie Shack,Bruins,1,2,1967,05,15
4126, Maple Leafs, • rights to Pete Conacher, • cash,Rangers(dateapproximate),1,1,1967,06,01
4127, North Stars, • rights to Marshall Johnston, • cash,Rangers(dateapproximate),1,1,1967,06,01
4128, Rangers, • cash, • rights to Marshall Johnston,NorthStars(dateapproximate),1,1,1967,06,01
4129, Rangers, • cash, • rights to Pete Conacher,MapleLeafs(dateapproximate),1,1,1967,06,01
4131, Red Wings, , • Murray Hall• Al LeBrun• Rick Morris,senttoBlackhawksasfutureconsiderationsinearliertradeinvolvingHowieYoung(dateapproximate),3,0,1967,06,01
4132, Blackhawks, • Murray Hall• Al LeBrun• Rick Morris, ,receivedfromRedWingsasfutureconsiderationsinearliertradeinvolvingHowieYoung(dateapproximate),0,3,1967,06,01
4137, Blues, • Gordon Kannegiesser / Gord Kannegiesser• Gary Sabourin• Bob Plager• Tim Ecclestone, • Rod Seiling,Rangers,1,4,1967,06,06
4141, Canadiens, • 1971 first round pick (#7-Chuck Arnason), • Andre Boudrias• Bob Charlebois• Bernard Cote,NorthStars,3,1,1967,06,06
4142, Canadiens, • Bryan Watson / Bugsy Watson, • Bill Plager / Billy Plager• rights to Leo Thiffault• rights to Barry Meissner / Barrie Meissner (LOH),NorthStars,3,1,1967,06,06
4143, Canadiens, • cash• future considerations (North Stars agreed to bypass Dick Duff in waiver draft on 1969-06-11), • Danny O'Shea,NorthStars,1,2,1967,06,06
4144, Maple Leafs, • cash, • Ken Broderick• Barry MacKenzie• rights to Gary Dineen,NorthStars,3,1,1967,06,06
4145, North Stars, • Andre Boudrias• Bob Charlebois• Bernard Cote, • 1971 first round pick (#7-Chuck Arnason),Canadiens,1,3,1967,06,06
4146, North Stars, • Bill Plager / Billy Plager• rights to Leo Thiffault• rights to Barry Meissner / Barrie Meissner (LOH), • Bryan Watson / Bugsy Watson,Canadiens,1,3,1967,06,06
4147, North Stars, • Danny O'Shea, • cash• future considerations (North Stars agreed to bypass Dick Duff in waiver draft on 1969-06-11),Canadiens,2,1,1967,06,06
4148, North Stars, • Ken Broderick• Barry MacKenzie• rights to Gary Dineen, • cash,MapleLeafs,1,3,1967,06,06
4149, Penguins, • Dunc McCallum• George Konik• Paul Andrea• amateur player to be named later (Frank Francis), • Larry Jeffrey,Rangers,1,4,1967,06,06
4153, Rangers, • Larry Jeffrey, • Dunc McCallum• George Konik• Paul Andrea• amateur player to be named later (Frank Francis),Penguins,4,1,1967,06,06
4154, Rangers, • Rod Seiling, • Gordon Kannegiesser / Gord Kannegiesser• Gary Sabourin• Bob Plager• Tim Ecclestone,Blues,4,1,1967,06,06
4372, Blues, • Ron Attwell• Pat Quinn, • cash,Canadiens,1,2,1967,06,07
4373, Canadiens, • cash, • Carl Wetzel,NorthStars,1,1,1967,06,07
4374, Canadiens, • cash, • rights to Bill Masterson,NorthStars,1,1,1967,06,07
4375, Canadiens, • cash, • Ron Attwell• Pat Quinn,Blues,2,1,1967,06,07
4378, North Stars, • Bill Masterton, • cash,Canadiens,1,1,1967,06,07
4379, North Stars, • Carl Wetzel, • cash,Canadiens,1,1,1967,06,07
4400, Kings, • rights to Leonard Kelly / Red Kelly, • Ken Block,MapleLeafs,1,1,1967,06,08
4401, Maple Leafs, • Ken Block, • rights to Leonard Kelly / Red Kelly,Kings,1,1,1967,06,08
4406, Blues, • Bill McCreary Sr. / Billy McCreary Sr., • Claude Cardin• Phil Obendorf,Canadiens,2,1,1967,06,14
4407, Blues, • Ron Atwell, • Pat Quinn,Canadiens,1,1,1967,06,14
4408, Canadiens, • 1970 first round pick (#6-Chuck Lefley)• 1971 first round pick (#7-Chuck Arnason), • rights to Danny O'Shea,NorthStars(O'SheaLOH-believedtobeinerror),1,2,1967,06,14
4409, Canadiens, • cash, • Mike McMahon Jr.,NorthStars,1,1,1967,06,14
4410, Canadiens, • Claude Cardin• Phil Obendorf, • Bill McCreary Sr. / Billy McCreary Sr.,Blues,1,2,1967,06,14
4411, Canadiens, • Pat Quinn, • Ron Atwell,Blues,1,1,1967,06,14
4412, Canadiens, • Ron Atwell, • cash,Cleveland(AHL),1,1,1967,06,14
4413, North Stars, • Mike McMahon Jr., • cash,Canadiens,1,1,1967,06,14
4414, North Stars, • rights to Danny O'Shea, • 1970 first round pick (#6-Chuck Lefley)• 1971 first round pick (#7-Chuck Arnason),Canadiens(O'SheaLOH-believedtobeinerror),2,1,1967,06,14
4415, Penguins, • Les Binkley, • cash,RedWings,1,1,1967,06,14
4416, Red Wings, • cash, • Les Binkley,Penguins,1,1,1967,06,14
4417, Kings, • Trevor Fahey• Jim Murray• Ken Turlick, • Barclay Plager,Rangers,1,3,1967,06,16
4418, Rangers, • Barclay Plager, • Trevor Fahey• Jim Murray• Ken Turlick,Kings,3,1,1967,06,16
4419, Blues, • Claude Cardin, • cash,Canadiens,1,1,1967,06,21
4420, Canadiens, • cash, • Claude Cardin,Blues,1,1,1967,06,21
4422, Blackhawks, • Bill Orban, • cash,L.A.Blades(WHL),1,1,1967,07,01
4426, Blackhawks, • cash, • rights to Cliff Koroll,L.A.Blades(WHL),1,1,1967,08,01
4428, Blackhawks, • cash, • Marc Boileau• Bobby Schmautz,Seattle(WHL)(BlackhawksretainedNHLrights),2,1,1967,08,10
4430, Blackhawks, • future considerations (Paul Shmyr), • Camille Henry,Rangers,1,1,1967,08,17
4431, Rangers, • Camille Henry, • future considerations (Paul Shmyr),Blackhawks,1,1,1967,08,17
4433, Flyers, • Al Millar, • cash,MapleLeafs(dateapproximate),1,1,1967,09,01
4434, Maple Leafs, • cash, • Al Millar,Flyers(dateapproximate),1,1,1967,09,01
4437, Penguins, • Bill Speer, • cash,Cleveland(AHL)(dateapproximate),1,1,1967,09,01
4439, Rangers, • cash, • Bill Sweeney,VancouverCanucks(WHL),1,1,1967,09,01
4440, Rangers, • cash, • Bob Kabel,Phoenix(WHL),1,1,1967,09,01
4445, Penguins, • Hank Bassen, • Roy Edwards,RedWings,1,1,1967,09,07
4446, Red Wings, • Roy Edwards, • Hank Bassen,Penguins,1,1,1967,09,07
4447, Maple Leafs, • cash, • Tom Polanic,Phoenix(WHL),1,1,1967,09,12
4450, Blackhawks, • Gerry Goyer, • cash,Portland(WHL)(dateapproximate),1,1,1967,10,01
4451, Bruins, • cash, • Jack Evans,SanDiego(WHL),1,1,1967,10,01
4452, Bruins, • cash, • Stan Gilbertson,Vancouver(WHL)(dateapproximate),1,1,1967,10,01
4453, Flyers, • Dick Sarrazin, • cash,RedWings(dateapproximate),1,1,1967,10,01
4454, Kings, • cash, • Bill Sweeney• loan of Mike Corbett• loan of Larry Mavety,Vancouver(WHL)(LOH)(dateapproximate),3,1,1967,10,01
4456, Penguins, • Gene Ubriaco, • Jeannot Gilbert,Hershey(AHL)(dateapproximate),1,1,1967,10,01
4457, Red Wings, • cash, • Bob Champoux,SanDiego(WHL),1,1,1967,10,01
4458, Red Wings, • cash, • Dick Sarrazin,Flyers(dateapproximate),1,1,1967,10,01
4459, Seals, • cash, • loan of Tom Thurlby,Vancouver(WHL),1,1,1967,10,01
4461, Canadiens, • cash, • Don Johns,NorthStars,1,1,1967,10,05
4462, North Stars, • Don Johns, • cash,Canadiens,1,1,1967,10,05
4463, Blues, • Craig Cameron• Larry Hornung• Don Giesebrecht, • John Brenneman,RedWings(date10-19persomesources),1,3,1967,10,09
4464, Red Wings, • John Brenneman, • Craig Cameron• Larry Hornung• Don Giesebrecht,Blues(date10-19persomesources),3,1,1967,10,09
4465, Maple Leafs, • Bryan Hextall Jr.• Jean-Paul Parise / J.P. Parise, • Gerry Ehman,Seals,1,2,1967,10,12
4466, Seals, • Gerry Ehman, • Bryan Hextall Jr.• Jean-Paul Parise / J.P. Parise,MapleLeafs,2,1,1967,10,12
4468, Maple Leafs, • Steve Witiuk, • Walt McKechnie,Phoenix(WHL),1,1,1967,10,15
4469, Bruins, • 1970 first round pick (#4-Rick MacLeish), • Rosaire Paiement,Flyers,1,1,1967,10,18
4470, Flyers, • Rosaire Paiement, • 1970 first round pick (#4-Rick MacLeish),Bruins,1,1,1967,10,18
4471, North Stars, • Bob McCord• Duke Harris, • Jean-Guy Talbot• Dave Richardson,RedWings,2,2,1967,10,19
4472, Red Wings, • Jean-Guy Talbot• Dave Richardson, • Bob McCord• Duke Harris,NorthStars,2,2,1967,10,19
4473, Flyers, • Larry Zeidel, • cash,Cleveland(AHL),1,1,1967,10,23
4479, Blues, • Gordon Berenson / Red Berenson• Barclay Plager, • Ron Attwell• Ron Stewart,Rangers,2,2,1967,11,27
4480, Rangers, • Ron Attwell• Ron Stewart, • Gordon Berenson / Red Berenson• Barclay Plager,Blues,2,2,1967,11,27
4481, Bruins, • Andre Gill, • cash,Hershey(AHL),1,1,1967,12,01
4484, Rangers, • cash, • rights to Larry Popein,Seals,1,1,1967,12,14
4485, Seals, • rights to Larry Popein, • cash,Rangers,1,1,1967,12,14
4486, Maple Leafs, • Ted Taylor• Murray Hall• Don Johns• Len Lunde• Duke Harris• loan of Carl Wetzel, • Jean-Paul Parise / J.P. Parise• Milan Marcetta,NorthStars,2,6,1967,12,23
4487, North Stars, • Jean-Paul Parise / J.P. Parise• Milan Marcetta, • Ted Taylor• Murray Hall• Don Johns• Len Lunde• Duke Harris• loan of Carl Wetzel,MapleLeafs,6,2,1967,12,23
4489, Red Wings, • Kent Douglas, • Ted Hampson• John Brenneman• Bert Marshall,Seals,3,1,1968,01,09
4490, Seals, • Ted Hampson• John Brenneman• Bert Marshall, • Kent Douglas,RedWings,1,3,1968,01,09
4491, Maple Leafs, • cash, • Joseph Horvath / Bronco Horvath,NorthStars,1,1,1968,01,13
4492, North Stars, • Joseph Horvath / Bronco Horvath, • cash,MapleLeafs,1,1,1968,01,13
4496, North Stars, • Walt McKechnie," • future considerations (Bob Charlebois, Leo Thiffault in 1968-06)",Phoenix(WHL),1,1,1968,02,17
4497, Flyers, • Art Stratton, • Wayne Hicks• cash,Penguins,2,1,1968,02,27
4498, Penguins, • Wayne Hicks• cash, • Art Stratton,Flyers,1,2,1968,02,27
4500, Maple Leafs, • cash, • Duke Harris,Rochester(AHL),1,1,1968,03,03
4502, Maple Leafs, • Doug Barrie• Norm Ullman• Paul Henderson• Floyd Smith, • Frank Mahovlich• Pete Stemkowski• Garry Unger• rights to Carl Brewer,RedWings(perAPLOH),4,4,1968,03,03
4503, Red Wings, • Frank Mahovlich• Pete Stemkowski• Garry Unger• rights to Carl Brewer, • Doug Barrie• Norm Ullman• Paul Henderson• Floyd Smith,MapleLeafs(perAPLOH),4,4,1968,03,03
4504, Maple Leafs, • Norm Ullman• Paul Henderson• Floyd Smith, • Frank Mahovlich• Pete Stemkowski• Garry Unger• rights to Carl Brewer,"RedWings(perRedWings,MapleLeafsmediaguides)",4,3,1968,03,03
4505, Red Wings, • Frank Mahovlich• Pete Stemkowski• Garry Unger• rights to Carl Brewer, • Norm Ullman• Paul Henderson• Floyd Smith,"MapleLeafs(perRedWings,MapleLeafsmediaguides)",3,4,1968,03,03
4508, Blues, • cash, • Pat Quinn,MapleLeafs,1,1,1968,03,25
4510, Maple Leafs, • Pat Quinn, • cash,Blues,1,1,1968,03,25
4513, Maple Leafs, • Terry Clancy, • cash,Seals,1,1,1968,05,14
4514, Rangers, • rights to Larry Popein, • cash,Seals,1,1,1968,05,14
4515, Seals, • cash, • rights to Larry Popein,Rangers,1,1,1968,05,14
4516, Seals, • cash, • Terry Clancy,MapleLeafs,1,1,1968,05,14
4517, Flyers, • Earl Heiskala, • future considerations (Art Stratton 1968-06) (John Hanna on 12-23),Seattle(WHL)(Flyersmediaguide),1,1,1968,05,19
4518, Flyers, • Earl Heiskala," • loan of Bob Courcy• loan of Ray Larose• future considerations (trade of Art Stratton, John Hanna on 1968-05-20)",Seattle(WHL)(LOH),3,1,1968,05,19
4519, Bruins, • 1970 first round pick (#3-Reggie Leach), • Skip Krake,Kings,1,1,1968,05,20
4520, Flyers, , • Art Stratton• John Hanna,senttoSeattle(WHL)tocompleteearliertradeinvolvingEarlHeiskala,2,0,1968,05,20
4521, Kings, • Skip Krake, • 1970 first round pick (#3-Reggie Leach),Bruins,1,1,1968,05,20
4522, Bruins, • 1969 first round pick (#4-Frank Spring), • Jean Pronovost• John Arbour,Penguins,2,1,1968,05,21
4523, Bruins, • cash, • John Arbour• Jean Pronovost,Penguins(perLOH),2,1,1968,05,21
4524, Penguins, • Jean Pronovost• John Arbour, • 1969 first round pick (#4-Frank Spring),Bruins,1,2,1968,05,21
4525, Penguins, • John Arbour• Jean Pronovost, • cash,Bruins(perLOH),1,2,1968,05,21
4526, Canadiens, • Wally Boyer• Alain Caron• 1968 first round pick (#3-Jim Pritchard)• 1970 first round pick (#5-Ray Martyniuk)• future considerations (Lyle Bradley in 1968-06)," • Norm Ferguson• Stan Fuller• future considerations (Francois Lacombe, Michel Jacques in 1968-06)",Seals(perLOH),3,5,1968,05,21
4527, Seals," • Norm Ferguson• Stan Fuller• future considerations (Francois Lacombe, Michel Jacques in 1968-06)", • Wally Boyer• Alain Caron• 1968 first round pick (#3-Jim Pritchard)• 1970 first round pick (#5-Ray Martyniuk)• future considerations (Lyle Bradley in 1968-06),Canadiens(perLOH),5,3,1968,05,21
4528, Canadiens, • Wally Boyer• Michel Jacques• 1968 first round pick (#3-Jim Pritchard)• 1970 first round pick (#5-Ray Martyniuk), • Norm Ferguson• Stan Fuller• Francois Lacombe• rights to Lyle Bradley,Seals(persealshockey.com),4,4,1968,05,21
4529, Seals, • Norm Ferguson• Stan Fuller• Francois Lacombe• rights to Lyle Bradley, • Wally Boyer• Michel Jacques• 1968 first round pick (#3-Jim Pritchard)• 1970 first round pick (#5-Ray Martyniuk),Canadiens(persealshockey.com),4,4,1968,05,21
4530, Blackhawks, • Jim Pappin, • Pierre Pilote,MapleLeafs,1,1,1968,05,23
4531, Maple Leafs, • Pierre Pilote, • Jim Pappin,Blackhawks,1,1,1968,05,23
4533, Red Wings, • Bob Baun / Bobby Baun• Ron Harris, • Gary Janet / Gary Jarrett / Garry Jarrett• Doug Roberts• Howie Young• Chris Worthy,Seals,4,2,1968,05,27
4534, Seals, • Gary Janet / Gary Jarrett / Garry Jarrett• Doug Roberts• Howie Young• Chris Worthy, • Bob Baun / Bobby Baun• Ron Harris,RedWings,2,4,1968,05,27
4535, Bruins, • cash, • Wayne Maxner,Hershey(AHL)(dateapproximate),1,1,1968,06,01
4536, Bruins, • Stan Gilbertson, • cash,Vancouver(WHL)(dateapproximate),1,1,1968,06,01
4537, North Stars, , • Bob Charlebois• Leo Thiffault,senttoPhoenix(WHL)tocompleteearliertradeinvolvingWaltMcKechnie(dateapproximate),2,0,1968,06,01
4540, Canadiens, , • Francois Lacombe• Michel Jacques,"senttoSealsasfutureconsiderationsinearliertradeinvolvingWallyBoyer,AlainCaron,NormFerguson,StanFuller(dateapproximate)(LOH)",2,0,1968,06,01
4541, Seals, , • Lyle Bradley,"senttoCanadienstocompleteearliertradeinvolvingNormFerguson,StanFuller,WallyBoyer,AlainCaron(dateapproximate)",1,0,1968,06,01
4542, Canadiens, • Lyle Bradley, ,"receivedfromSealstocompleteearliertradeinvolvingNormFerguson,StanFuller,WallyBoyer,AlainCaron(dateapproximate)",0,1,1968,06,01
4544, Seals, • Francois Lacombe• Michel Jacques, ,"receivedfromCanadiensasfutureconsiderationsinearliertradeinvolvingWallyBoyer,AlainCaron,NormFerguson,StanFuller(dateapproximate)(LOH)",0,2,1968,06,01
4546, Bruins, • Stan Gilbertson, • cash,Vancouver(WHL),1,1,1968,06,06
4547, Canadiens, • cash, • Jack Rathwell,NorthStars,1,1,1968,06,06
4550, Maple Leafs, • cash, • Doug Barrie,RedWings,1,1,1968,06,06
4551, Maple Leafs, • cash, • Murray Hall,Rochester(AHL),1,1,1968,06,06
4552, North Stars, • Jack Rathwell, • cash,Canadiens,1,1,1968,06,06
4554, Red Wings, • Doug Barrie, • cash,MapleLeafs,1,1,1968,06,06
