Ducks Lightning 1
Ducks Rangers 3
Ducks Islanders 1
Ducks Hurricanes 1
Ducks Canadiens 2
Ducks BlueJackets 1
Ducks MapleLeafs 4
Ducks Senators 1
Ducks Bruins 1
Ducks Blues 1
Ducks Canucks 1
Coyotes Flyers 1
Coyotes Lightning 1
Coyotes Rangers 2
Coyotes Islanders 1
Coyotes BlueJackets 1
Bruins Lightning 1
Bruins Panthers 2
Bruins MapleLeafs 1
Bruins Avalanche 1
Bruins Kings 1
Bruins Senators 1
Bruins Wild 1
Sabres Blackhawks 1
Sabres Blues 1
Sabres Islanders 1
Sabres Flames 1
Flames Rangers 1
Hurricanes Panthers 2
Hurricanes Sharks 2
Blackhawks Panthers 4
Blackhawks Senators 1
Blackhawks Capitals 1
Avalanche Blues 1
Avalanche Capitals 1
Avalanche MapleLeafs 1
Avalanche Senators 1
Avalanche Oilers 1
BlueJackets Flyers 2
BlueJackets Canadiens 1
BlueJackets Wild 1
BlueJackets Senators 1
Stars MapleLeafs 1
Stars Devils 1
Stars Penguins 1
RedWings Senators 1
Oilers Kings 2
Panthers Rangers 1
Panthers Blues 1
Panthers Predators 2
Panthers Canucks 3
Panthers Capitals 1
Panthers Sharks 1
Kings Flyers 1
Kings Predators 1
Wild Flyers 1
Wild Canucks 1
Wild Devils 1
Wild Sharks 1
Canadiens Lightning 1
Canadiens Islanders 1
Canadiens Jets 1
Predators Rangers 1
Predators Capitals 1
Predators Canucks 1
Predators Senators 1
Devils Capitals 1
Devils Sharks 1
Islanders Lightning 2
Islanders Canucks 1
Rangers MapleLeafs 1
Rangers Blues 1
Senators Penguins 1
Flyers Lightning 2
Flyers MapleLeafs 1
Sharks Jets 1
Blues Lightning 1
Blues Capitals 1
Lightning MapleLeafs 1
